Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.003973,-1.033101,6.467501,7.658229
0.023933,-0.571586,7.650452,5.979365
0.123933,-0.441476,7.130312,6.914360
0.223933,-0.316152,7.208079,7.014859
0.323933,-0.684048,6.967002,7.047461
0.423933,-1.351347,7.220043,6.468996
0.523933,-1.560419,7.627122,5.870790
0.623933,0.614357,7.740482,7.553842
0.723933,0.844966,9.422636,4.803891
0.823933,1.355833,7.453642,6.781857
0.923933,-0.800399,5.642874,8.404191
1.023933,-0.550349,8.525627,5.362914
1.123933,-2.827718,8.232805,5.313861
1.223933,3.171686,9.461221,5.159524
1.323933,3.132803,6.674181,7.418947
1.423933,-8.162517,5.475676,5.527719
1.523933,-0.292523,6.682855,7.840682
1.623933,0.349053,6.900900,8.506484
1.723933,2.950051,9.001201,6.612566
1.823933,1.368096,7.384251,5.901299
1.923933,-3.018845,8.361420,5.740980
2.023933,1.609472,8.508878,5.927919
2.123933,1.642075,7.700402,6.977471
2.223933,-0.613759,6.014958,8.777771
2.323933,2.197209,5.280960,11.133505
2.423933,-0.526421,6.240481,8.091031
2.523933,-1.985744,6.804589,7.222137
2.623933,0.275175,7.327421,5.625227
2.723933,0.783051,7.479365,7.435697
2.823933,-0.423829,7.083353,6.740282
2.923933,-0.943071,6.870093,7.950452
3.023933,0.163310,6.508777,7.651051
3.123933,2.165205,7.070193,6.659823
3.223933,1.168595,5.653642,7.722237
3.323933,-0.829412,6.740880,8.348857
3.423933,-3.169892,6.683453,5.931808
3.523933,-1.081257,7.886145,5.932704
3.623933,-1.367199,7.441080,7.475477
3.723933,1.260718,6.555138,7.077670
3.823933,0.673879,6.471090,8.796016
3.923933,-0.122931,7.325926,6.372984
4.023933,-0.978964,7.712666,10.572986
4.123933,-2.209473,6.969096,7.455736
4.223933,-0.471984,7.434500,7.262217
4.323933,0.313460,10.002597,11.326127
4.423933,-4.358826,7.062715,3.530610
4.523933,1.903490,9.376874,4.114758
4.623933,1.546362,8.151449,8.207980
4.723933,1.523630,6.480960,6.786344
4.823933,-3.353242,7.280462,7.798508
4.923933,1.424029,8.822337,3.966702
5.023933,4.373781,6.512665,7.238887
5.123933,-0.319442,7.924430,4.454538
5.223933,-1.768894,7.704889,7.594520
5.323933,-3.310171,5.118248,7.809874
5.423933,-0.431605,6.045167,5.805287
5.523933,-0.711267,6.929615,6.948757
5.623933,0.873679,5.245666,8.968299
5.723933,-0.263211,6.743872,6.565606
5.823933,-1.834996,7.741679,6.147460
5.923933,-1.275075,6.597311,5.513661
6.023933,0.655633,5.260621,10.596017
6.123933,-1.752144,7.162316,6.735497
6.223933,-0.788435,7.317850,5.825027
6.323933,0.437887,7.648059,7.817351
6.423933,-2.370390,7.452745,9.019445
6.523933,0.128016,3.752843,9.588340
6.623933,0.798605,9.014062,5.347061
6.723933,0.681954,7.885547,6.153742
6.823933,-0.661615,5.587241,7.909176
6.923933,-0.973281,8.065308,6.366703
7.023933,-1.864607,6.956533,8.558528
7.123933,-2.310569,5.071887,11.197213
7.223933,-0.180060,7.107880,6.520741
7.323933,-1.024427,6.359824,8.165507
7.423933,-0.609572,5.956035,8.474181
7.523933,-3.948457,8.383254,5.433502
7.623933,-0.469591,9.691530,5.566005
7.723933,-1.086641,6.445367,9.599706
7.823933,-0.993021,6.670292,8.168797
7.923933,-0.803390,8.661120,6.002695
8.023933,5.047958,4.692026,8.614161
8.123933,-0.245563,5.211268,8.425727
8.223933,-1.302593,8.010871,3.145066
8.323933,-1.481456,7.468298,3.702295
8.423933,1.616651,6.921838,9.119945
8.523933,0.160618,7.379465,4.677071
8.623933,0.040379,7.845467,4.486542
8.723933,-3.289832,6.294619,7.965407
8.823933,-1.715654,7.498807,4.628915
8.923933,-3.094518,9.646963,3.257230
9.023933,0.502194,6.246164,6.308079
9.123933,-1.254437,6.122037,7.219744
9.223933,0.525225,6.848856,3.548257
9.323933,0.157328,6.683154,8.462217
9.423933,3.850351,6.256932,9.848858
9.523933,-0.656232,7.736893,6.954440
9.623933,1.533500,7.048059,7.045666
9.723933,-0.310768,7.619944,5.809175
9.823933,-0.835992,4.948657,9.631111
9.923933,-4.115356,7.417152,4.912465
10.023933,0.448953,7.725826,4.157230
10.123933,1.412064,7.964809,8.476873
10.223933,-1.123729,6.126224,4.571188
10.323933,1.823032,6.071787,7.832307
10.423933,0.051147,8.235198,6.125028
10.523933,-1.713261,6.718448,6.818647
10.623933,-2.068894,6.659524,7.001100
10.723933,0.450449,8.000103,5.558826
10.823933,2.567200,10.210473,4.820042
10.923933,1.022932,7.893922,6.704689
11.023933,-0.824627,3.394817,11.610574
11.123933,-0.086441,7.651350,3.870989
11.223933,2.439183,7.662715,8.217551
11.323933,0.363709,2.757429,10.567602
11.423933,-1.275075,9.119645,5.202595
11.523933,-0.978365,8.325228,6.678069
11.623933,-2.458924,6.569794,8.874979
11.723933,-2.478067,6.809076,4.617250
11.823933,-2.618944,9.540483,3.670291
11.923933,-0.537787,7.150950,7.299006
12.023933,0.274875,5.373682,7.374081
12.123933,0.579661,7.796414,6.831210
12.223933,3.612863,6.399903,8.928220
12.323933,-0.049950,6.325427,9.004789
12.423933,1.742872,6.072386,6.999904
12.523933,-1.698007,7.321140,5.451448
12.623933,0.518345,5.143970,8.411369
12.723933,-1.162014,9.778868,2.163710
12.823933,-0.940678,6.834200,8.429316
12.923933,-1.689034,6.040381,8.864511
13.023933,-0.422632,7.794620,7.325926
13.123933,-1.582254,8.178668,6.984350
13.223933,0.371486,5.577371,9.677173
13.323933,-0.278764,7.867601,7.072287
13.423933,-0.982852,6.502196,8.344371
13.523933,0.527318,7.694420,5.883353
13.623933,1.517349,5.267799,10.362717
13.723933,-0.940379,7.447959,6.435197
13.823933,0.122931,7.840682,6.301797
13.923933,-1.748256,7.214659,6.191429
14.023933,-0.450449,5.872286,9.273085
14.123933,-1.694118,9.523733,2.692823
14.223933,-0.574277,7.779963,6.735198
14.323933,-2.291427,6.288039,6.803692
14.423933,-0.184247,7.687242,6.840482
14.523933,-3.345166,8.532506,2.891128
14.623933,-1.374976,6.797112,4.786842
14.723933,-0.313161,7.127321,8.192127
14.823933,-0.640379,7.840682,7.662117
14.923933,0.401994,9.570692,7.140781
15.023933,2.030908,7.490731,6.427720
15.123933,0.333799,7.383653,8.347063
15.223933,-1.141077,6.643672,8.002795
15.323933,-0.143868,6.986145,6.579664
15.423933,-3.704089,7.455138,2.951248
15.523933,-1.522433,7.453942,7.097411
15.623933,-0.516252,7.193124,7.243672
15.723933,1.653141,9.034101,5.917749
15.823933,1.212563,6.580262,8.495118
15.923933,-2.682055,8.810373,3.823431
16.023933,0.295215,6.918847,7.422835
16.123933,-1.976172,6.461818,7.607980
16.223933,-0.386740,7.126723,7.127920
16.323933,0.892224,7.047760,7.547262
16.423933,-1.605584,8.106883,7.024131
16.523933,1.054637,6.401399,7.366603
16.623933,-1.223630,6.249753,3.296711
16.723933,-1.053739,5.983851,11.366207
16.823933,3.609872,5.095217,9.959826
16.923933,0.158824,8.133802,6.705586
17.023933,-1.101297,7.605288,6.508777
17.123933,-0.121436,8.572288,6.618248
17.223933,-1.768595,9.007781,3.294019
17.323933,0.217448,6.219245,7.598109
17.423933,0.704985,7.654341,7.110571
17.523933,-1.146760,8.030313,6.885646
17.623933,0.306281,5.062016,11.733505
17.723933,-0.481855,8.321340,4.318447
17.823933,-0.188435,6.819245,10.422537
17.923933,-2.312364,6.427122,8.155936
18.023933,1.075275,6.271289,10.465907
18.123933,1.880759,4.785047,10.497911
18.223933,-0.632902,6.616753,6.512665
18.323933,1.213161,6.820143,6.923932
18.423933,0.321536,9.083155,7.219445
18.523933,7.004091,6.100502,11.668001
18.623933,-1.240080,7.134500,7.701898
18.723933,-1.066302,6.437590,5.562715
18.823933,-0.738784,7.257431,6.674779
18.923933,-0.966102,6.450751,7.136593
19.023933,1.318744,6.998408,10.168898
19.123933,-0.109771,6.748956,9.887443
19.223933,1.081257,7.798508,4.721637
19.323933,1.819143,8.622537,5.130810
19.423933,3.363710,7.701001,7.733902
19.523933,-0.766301,6.482755,7.460522
19.623933,-1.776671,7.596614,7.322636
19.723933,0.128315,9.152547,5.820541
19.823933,-0.894317,5.750551,10.764112
19.923933,-1.835295,8.286345,5.274080
20.023933,-1.654936,7.071090,6.319445
20.123933,0.774975,7.383653,8.835498
20.223933,1.579861,8.042576,7.956434
20.323933,3.292823,8.388040,5.667699
20.423933,-0.687637,5.913562,9.132506
20.523933,-1.389333,6.507580,5.759823
20.623933,1.830210,8.819346,5.761020
20.723933,0.470190,4.581657,9.728619
20.823933,0.023330,4.730909,10.015458
20.923933,-2.282454,6.710970,7.429116
21.023933,-1.835594,6.980163,6.923632
21.123933,0.726820,6.534201,7.510472
21.223933,-3.694518,7.656135,4.039384
21.323933,-0.811765,8.259725,4.445865
21.423933,-1.081556,7.031309,6.817451
21.523933,0.273081,6.704988,7.375876
21.623933,3.033800,8.025229,5.236692
21.723933,-1.467099,9.122637,3.217449
21.823933,0.253041,7.140781,5.637789
21.923933,-1.364806,7.186544,8.556734
22.023933,0.538385,8.159525,6.147759
22.123933,-3.926921,7.952247,4.990830
22.223933,-1.284348,4.040281,9.100503
22.323933,0.794417,7.314560,8.899805
22.423933,1.196411,7.997112,6.679564
22.523933,0.996012,6.370591,7.427620
22.623933,4.044767,6.518348,9.921839
22.723933,-1.136890,7.452147,7.050452
22.823933,2.410769,7.133303,6.083453
22.923933,-1.497907,6.828517,7.485946
23.023933,0.252742,3.834498,10.272088
23.123933,-2.595016,7.948359,7.162316
23.223933,-1.495813,5.445765,7.839186
23.323933,0.216251,10.776076,2.249851
23.423933,-0.798305,7.670492,7.787142
23.523933,-5.324628,6.431010,3.934399
23.623933,-0.396610,8.338987,3.663711
23.723933,-0.652642,8.046763,5.472983
23.823933,1.505385,8.714361,6.651150
23.923933,0.953540,7.387242,6.772286
24.023933,1.685744,5.990132,8.785249
24.123933,-0.470788,6.662217,9.169894
24.223933,0.524925,7.727621,8.263015
24.323933,-1.910370,7.517352,6.581160
24.423933,1.252942,2.893222,8.816056
24.523933,-4.391129,8.544471,3.259623
24.623933,-1.205983,8.669496,3.475874
24.723933,1.084846,6.426523,6.770193
24.823933,-0.084048,6.634998,6.795916
24.923933,-3.038586,7.912466,5.333601
25.023933,0.617647,5.939285,8.393723
25.123933,1.135394,8.478069,10.893026
25.223933,0.172582,5.220541,7.872685
25.323933,-1.636392,7.791629,8.723932
25.423933,-2.126920,4.021737,8.968898
25.523933,-3.880261,7.187142,7.898408
25.623933,-0.208774,6.983154,6.615257
25.723933,-1.069293,10.383056,2.210968
25.823933,0.351147,7.675577,5.010870
25.923933,-2.370988,8.318049,3.938287
26.023933,-0.040379,6.110970,7.322037
26.123933,-0.007178,7.166504,6.655038
26.223933,1.053440,8.782557,5.806782
26.323933,1.016052,7.269993,7.513463
26.423933,0.357727,5.795416,10.691730
26.523933,-0.379262,6.052645,8.692227
26.623933,-4.054638,6.684649,6.567700
26.723933,-1.854737,7.644470,7.496713
26.823933,-3.649952,7.165308,4.902595
26.923933,-0.573978,10.506286,4.760221
27.023933,-0.822832,8.569595,4.413860
27.123933,0.437887,5.883951,9.118449
27.223933,-0.075075,8.394022,4.065406
27.323933,1.962115,10.100702,3.757031
27.423933,0.379861,6.962516,5.565406
27.523933,1.758426,8.128419,8.168797
27.623933,0.242572,6.557231,5.864210
27.723933,-4.130311,7.720442,5.659325
27.823933,-0.423530,6.762416,6.777670
27.923933,-3.349354,6.947560,7.917551
28.023933,-1.293022,6.867999,6.679564
28.123933,-0.284148,9.704092,5.089235
28.223933,2.497808,6.951748,8.649755
28.323933,1.237987,6.027520,10.030414
28.423933,-1.198206,7.235298,4.331009
28.523933,0.620040,7.520642,6.712167
28.623933,-2.564508,6.664908,8.977571
28.723933,0.888635,6.641279,5.490631
28.823933,1.919941,8.416754,8.608778
28.923933,-0.142373,6.164808,10.059426
29.023933,0.416949,5.947062,6.658627
29.123933,5.004888,8.184949,5.649754
29.223933,1.312762,8.000702,7.707282
29.323933,-0.932004,6.528817,6.267700
29.423933,-2.050350,8.598310,4.591826
29.523933,-1.555933,3.149254,13.386946
29.623933,0.064905,4.641478,13.205091
29.723933,0.754337,6.834500,8.182556
29.823933,2.809174,7.090532,5.755935
29.923933,1.180858,9.177073,7.110571
30.023933,-0.196211,5.682954,6.853343
30.123933,-2.286342,6.580861,4.202694
30.223933,2.195116,8.949755,6.532406
30.323933,-0.370588,9.110971,4.949255
30.423933,1.600200,7.461718,6.643672
30.523933,-1.046860,8.714959,2.588436
30.623933,-0.715155,7.944470,6.825826
30.723933,-2.123032,6.055935,6.408577
30.823933,-1.414457,7.614859,9.093025
30.923933,3.223132,5.217849,9.171091
31.023933,0.325723,6.288936,9.744172
31.123933,0.883550,7.753045,6.388537
31.223933,0.776770,7.291529,6.967301
31.323933,0.937986,8.140981,5.787042
31.423933,0.400798,6.521937,11.260025
31.523933,-2.201995,8.292925,5.700003
31.623933,-1.595115,7.790432,5.773582
31.723933,-1.535893,6.570691,8.010871
31.823933,-1.315454,9.199206,3.829414
31.923933,1.311566,7.346863,10.394122
32.023933,-1.261317,4.758427,9.860822
32.123933,-1.846063,7.347760,8.941978
