Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.086556,-0.004123,0.024587,0.033444
0.191346,-0.001833,0.067040,0.095750
0.296134,-0.008246,0.039400,0.058641
0.400924,0.009774,0.023976,0.034360
0.505713,-0.000611,-0.017867,0.027335
0.610503,-0.012217,0.034055,0.192722
0.715291,-0.032680,0.203412,0.309241
0.820081,0.017256,0.104302,0.132707
0.924869,0.051006,0.208757,0.223417
1.029659,-0.012064,0.071011,0.232580
1.134448,0.006108,0.220363,0.151643
1.239238,0.058183,-0.472032,-0.680637
1.344026,0.093460,-0.768904,-1.389372
1.448816,-0.027946,0.109342,0.436145
1.553604,-0.103539,0.553886,1.236508
1.658394,-0.031459,0.380558,0.726908
1.763183,0.025197,-0.148283,-0.364065
1.867973,-0.041232,0.218989,0.109800
1.972761,-0.054824,0.321153,0.742943
2.077551,0.035582,0.186461,0.161264
2.182339,0.040163,0.051311,-0.160042
2.287129,0.122169,-0.402854,-0.798836
2.391917,0.070553,-0.532812,-1.017061
2.496707,0.010079,-0.116825,-0.051617
2.601496,-0.056503,0.138662,0.338868
2.706286,-0.048104,-0.022907,-0.065819
2.811074,-0.000305,-0.113465,-0.239299
2.915864,-0.062765,0.073607,0.133470
3.020652,-0.029321,0.276714,0.291832
3.125442,0.086129,-0.021074,-0.254571
3.230230,0.085977,-0.157446,-0.657424
3.335020,0.088726,-0.360705,-0.605197
3.439808,0.034207,-0.143549,-0.169357
3.544598,0.057420,-0.146909,0.067499
3.649386,-0.028557,-0.178062,0.073607
3.754176,-0.043676,-0.037414,0.182338
3.858965,-0.000458,-0.017867,0.247088
3.963754,-0.030542,-0.128278,0.033749
4.068543,0.005345,-0.169205,-0.041079
4.173333,-0.019089,-0.050700,0.288320
4.278121,-0.027030,0.117435,0.400716
4.382911,-0.080174,0.317335,0.685676
4.487699,-0.045661,0.427746,0.499062
4.592489,0.036804,0.039094,-0.284808
4.697277,0.081395,-0.071775,-0.404839
4.802067,-0.032222,0.202954,0.062154
4.906855,0.011606,0.117741,0.102011
5.011645,0.135914,0.076967,-0.419347
5.116433,0.038636,-0.242506,-0.430342
5.221223,0.023823,-0.185392,-0.272743
5.326012,-0.053144,-0.058489,0.259610
5.430801,-0.006872,0.031611,0.262664
5.535590,0.016646,0.160347,0.248615
5.640380,0.007025,-0.006261,0.133012
5.745168,0.000153,-0.044134,-0.094529
5.849958,-0.032833,0.055129,0.063223
5.954746,-0.032222,0.077578,0.136219
6.059536,0.035735,0.074982,-0.029321
6.164324,0.002749,0.083686,-0.036040
6.269114,0.009774,-0.004581,-0.117130
6.373902,0.034207,-0.008094,-0.137593
6.478692,0.023823,0.162333,0.124918
6.583481,-0.042759,-0.016951,0.025503
6.688270,0.034818,-0.098652,-0.283586
6.793059,0.025503,-0.098346,-0.172412
6.897849,0.017409,-0.054213,0.034360
7.002637,-0.001222,-0.267093,-0.269536
7.107427,0.042148,-0.078647,0.006414
7.212215,-0.005039,-0.023365,0.218225
7.317005,-0.017104,0.032833,0.303897
7.421793,-0.094529,0.063375,0.288014
7.526583,0.060168,0.096514,0.069026
7.631371,0.089947,0.125529,0.146298
7.736161,-0.055129,0.100484,0.111938
7.840949,-0.012981,0.118657,0.006719
7.945739,-0.027030,0.018631,0.042148
8.050528,0.053449,0.098805,-0.065972
8.155318,0.068873,-0.064139,-0.220821
8.260106,-0.015729,0.010537,-0.027641
8.364896,-0.046883,0.053449,0.121406
8.469684,0.022754,0.017867,-0.113312
8.574474,0.047493,-0.170274,-0.419957
8.679263,-0.002138,-0.088573,-0.037109
8.784052,0.007636,0.136066,0.421026
8.888841,-0.059710,0.007330,0.146451
8.993631,0.051158,0.095139,-0.076814
