Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0.115301,-0.011158,0.089599,0.094098
0.220091,-0.003559,0.033825,0.035417
0.324879,0.117700,0.224456,-0.067781
0.429669,0.037200,0.189228,-0.092752
0.534457,-0.265131,0.422766,-0.321867
0.639247,-0.056665,0.539445,-0.441450
0.744036,-0.064988,0.172914,0.090626
0.848826,0.179278,0.555127,-0.474532
0.953614,0.463460,-0.082756,0.181090
1.058404,-0.744485,-0.596548,0.801767
1.163192,1.113273,0.031995,0.365644
1.267982,-0.683815,0.873227,-0.655566
1.372771,3.825981,1.672174,-0.724030
1.477561,-0.791180,-1.640668,0.841262
1.582349,-3.935066,-1.599282,0.651076
1.687139,0.062419,-0.250898,0.683837
1.791927,1.493264,1.571764,-0.609534
1.896717,1.915957,-0.489181,0.712994
2.001506,-4.609752,-0.637695,-0.090864
2.106296,0.723412,-0.359592,1.092329
2.211084,1.114828,-0.438832,0.964654
2.315874,0.195618,0.036018,0.175114
2.420662,2.910619,0.167398,0.266072
2.525452,-0.277076,-1.080695,0.556932
2.630240,-0.863995,-0.442601,0.330927
2.735030,0.375980,-0.058780,0.093610
2.839819,1.362201,0.235059,0.465029
2.944609,-0.363928,-0.263771,0.350336
3.049397,-0.460439,-0.632427,0.438952
3.154187,0.785241,-0.044769,1.159488
3.258975,2.335825,0.224205,0.125168
3.363765,0.256934,-0.823826,0.720332
3.468553,0.997897,-0.589670,0.878621
3.573343,-1.295753,-0.479412,0.253541
3.678131,0.023527,0.326705,-0.235784
3.782921,0.411945,-0.292814,0.584687
3.887709,-0.504922,-0.495290,0.422087
3.992499,0.044759,0.210176,-0.090922
4.097287,0.057758,-0.335729,1.277064
4.202077,-0.716077,-0.289331,-0.098374
4.306866,-0.853902,-0.479635,0.570804
4.411656,-0.487704,-0.741643,-1.265670
4.516444,-1.307480,0.629163,2.547984
4.621234,1.161347,0.226243,-0.720239
4.726022,1.317913,0.143585,-0.129739
4.830812,-0.015286,-0.384230,0.562020
4.935600,-1.624371,-0.878728,0.715879
5.040390,2.262487,0.052590,0.524907
5.145178,0.072022,0.305714,-0.416799
5.249968,0.466125,-0.096939,0.057789
5.354756,-0.979786,-0.133755,0.020909
5.459546,-0.798541,-0.504312,0.376095
5.564334,0.380781,-0.462673,1.004959
5.669124,-1.227044,-0.205932,0.020346
5.773913,0.473443,0.142665,0.108029
5.878703,-0.174486,-0.091307,0.380451
5.983491,0.070924,-0.214919,0.105487
6.088281,0.193352,-0.175488,0.854787
6.193069,0.543753,-0.209308,0.153954
6.297859,0.026910,-0.019566,-0.105141
6.402647,0.862777,0.061837,0.784311
6.507437,-0.587033,-0.419688,-0.081387
6.612225,-1.155039,0.059056,-0.170726
6.717015,1.688587,0.410170,0.472328
6.821803,1.054705,-0.325191,0.395986
6.926593,-0.284138,-1.044024,0.885866
7.031382,0.277595,0.501561,-0.013030
7.136171,1.089873,-0.460538,0.284182
7.240960,-1.134759,-0.312364,0.583752
7.345750,-0.587182,-0.394648,0.317988
7.450538,-0.527924,-0.135524,0.273835
7.555328,0.380204,-0.609673,0.901081
7.660116,0.319549,-0.197930,0.378159
7.764906,-0.803244,0.391210,-0.090249
7.869694,0.095096,-0.518502,0.716715
7.974484,-0.747159,0.598539,-0.446524
8.079272,1.021571,-0.713833,0.772312
8.184062,-0.000547,-0.323410,0.379656
8.288851,0.421226,0.372744,-0.214434
8.393641,-0.598177,-0.468654,0.346879
8.498429,0.647154,0.139209,0.378796
8.603219,1.403904,0.601166,-0.348461
8.708007,0.487769,-0.520120,0.754903
8.812797,-1.869798,-1.062213,0.841686
8.917586,-0.284887,0.384687,-0.276047
9.022376,1.045337,-0.210044,0.103786
9.127164,-0.447932,0.048454,0.052723
9.231954,-0.213229,-0.293381,0.916899
9.336742,-0.697272,-0.044293,-0.318161
9.441532,-0.324972,-0.482879,0.549741
9.546321,-0.143428,-0.147464,0.253348
9.651111,0.403692,0.561462,0.007825
9.755899,2.128272,0.439576,0.263091
9.860689,0.464590,-0.423414,0.642183
9.965478,-1.541721,-0.556249,-0.235151
10.070268,-0.138047,-0.327653,0.937968
10.175056,0.317577,0.227809,-0.615056
10.279846,-0.018642,-0.089677,0.384743
10.384635,-1.055121,-0.253706,0.012360
10.489425,0.578177,0.439288,0.209376
10.594213,0.824999,-0.190650,0.399640
10.699003,-1.083256,-0.722068,0.112996
10.803792,-1.086945,-0.057466,0.459979
10.908582,0.146088,0.587019,-0.187534
11.013370,0.243805,0.247556,0.277228
11.118160,-0.827010,-0.388940,-0.480182
11.222948,-1.133807,0.182920,0.004649
11.327738,0.412338,-1.084775,2.193618
11.432527,-0.358180,1.477946,-1.422518
11.537317,0.427694,0.167523,-0.082655
11.642105,-0.876470,-0.658622,0.855408
11.746895,-0.004621,0.098803,0.960789
11.851684,0.145563,-0.280064,-0.709784
11.956474,-0.547070,0.571207,-0.223574
12.061262,0.257516,-0.009195,0.451278
12.166052,0.194763,-0.083554,0.006067
12.270840,0.847738,-0.116525,0.581704
12.375630,0.304289,-0.329455,0.221340
12.480419,1.356659,0.152846,0.078546
12.585209,0.920708,0.167944,-0.022000
12.689997,-0.442979,-0.704127,0.519519
12.794787,0.766759,1.086873,-0.962414
12.899575,0.095413,-0.409624,1.039003
13.004366,-0.641337,-0.525021,0.170471
13.109154,0.090234,0.003807,0.081451
13.213944,0.899685,0.263768,0.001181
13.318732,0.326414,0.164689,0.160671
13.423523,0.121443,0.028761,-0.038866
13.528311,-0.079979,-0.128270,0.191578
13.633101,0.472508,-0.669123,0.844181
13.737889,-1.312572,0.034933,0.249115
13.842680,0.016399,0.445396,-0.680072
13.947468,0.097806,0.175799,0.224432
14.052258,-0.560696,0.082510,-0.185087
14.157047,-0.460554,-0.391449,0.738727
14.261837,1.164504,0.608953,-0.315049
14.366625,-0.868194,-0.335471,0.168008
14.471415,-0.260698,-0.063826,-0.156476
14.576204,0.780268,0.523989,-0.120742
14.680994,0.503397,-0.098894,-0.151028
14.785782,-0.115614,-0.012399,0.622655
14.890573,-1.091893,-0.256003,0.336151
14.995361,1.236406,0.463025,-0.111253
15.100151,-0.504967,0.181001,-0.739354
15.204940,-0.624562,-0.189904,0.540358
15.309730,-0.778089,0.052309,0.278741
15.414518,0.482420,0.103148,-0.407583
15.519309,-0.278506,-0.579450,0.926305
15.624097,-0.404784,0.227530,-0.241335
15.728887,1.028531,0.624242,-0.377602
15.833676,0.844790,0.549960,-0.042127
15.938466,-0.164183,-0.701367,0.678324
16.043255,-0.861334,-0.141852,0.059610
16.148045,-0.101993,0.237196,0.109073
16.252833,-0.714364,0.012410,0.195085
16.357624,-0.358384,0.072480,-0.407813
16.462412,0.622298,0.577565,0.330582
16.567202,1.297907,-0.107178,0.360489
16.671991,-1.308561,-0.874741,-0.336782
16.776781,-1.284682,-0.132987,1.073180
16.881570,1.484815,0.561784,-0.187342
16.986360,1.053643,0.761216,-0.118660
17.091149,-0.736634,-0.825692,0.834709
17.195939,-1.392756,-0.556244,0.012123
17.300727,-0.487967,0.552540,-0.263275
17.405518,-0.199797,0.347712,0.095148
17.510306,0.576119,0.367771,-0.053229
17.615096,-0.871329,-0.095053,0.287254
17.719885,0.380256,-0.405402,0.314171
17.824675,-0.547364,-0.051677,0.117222
17.929464,1.045315,0.274683,0.045260
18.034254,-0.149604,-0.105354,0.464354
18.139043,0.199120,0.348106,-0.240898
18.243833,-0.128920,-0.636385,0.855265
18.348621,-0.463665,-0.096722,0.200157
18.453412,0.212993,0.208171,-0.159948
18.558200,0.825917,0.289382,0.219173
18.662990,0.396340,0.133286,-0.432204
18.767779,-0.631710,-0.366225,0.462864
18.872569,-0.639344,-0.472611,0.340552
18.977358,0.145010,0.086321,0.255621
19.082148,0.991749,0.583326,0.005345
19.186936,0.559309,-0.150481,0.116038
19.291726,0.812320,0.440106,-0.392197
19.396515,0.603622,-0.661774,1.278125
19.501305,-1.507682,0.198558,-0.599906
19.606093,0.254938,0.061893,0.035381
19.710883,-0.382198,0.108479,0.461717
19.815672,1.037514,0.392041,-0.501969
19.920462,-0.126202,-0.367393,0.650993
20.025250,-0.495506,-0.561541,0.271632
20.130040,-0.766648,0.089329,0.002330
20.234828,0.864891,0.280811,-0.043869
20.339618,0.597238,0.353322,-0.070455
20.444406,0.919092,0.126060,-0.193997
20.549196,-0.989305,-0.023161,0.437898
20.653985,0.264702,-0.623896,0.942983
20.758774,0.982413,0.676510,-0.324533
20.863563,-0.960142,0.064561,-0.736334
20.968353,-0.288575,0.239943,0.062095
21.073141,-0.521799,0.150939,0.013656
21.177931,0.755685,-0.103954,0.454741
21.282719,-0.757605,-0.242075,0.074852
21.387509,1.974340,0.584513,-0.178816
21.492297,1.007945,-0.065975,0.006768
21.597087,0.183468,-0.063673,0.337191
21.701875,0.915962,0.089135,0.383112
21.806665,0.124462,-0.368813,0.321531
21.911453,-1.021536,-0.066849,-0.185894
22.016242,-0.766201,0.062064,0.236632
22.121031,1.262168,0.765743,-0.493201
22.225820,0.426236,0.101596,0.138865
22.330609,-1.886336,-0.356937,0.150597
22.435398,1.006193,0.060918,0.132120
22.540186,0.602259,0.658224,-0.487875
22.644976,0.327322,-0.840339,1.077989
22.749764,-0.958712,0.250564,-0.611987
22.854554,1.102613,0.815653,-0.109464
22.959342,0.561788,-0.472674,0.537329
23.064132,-0.291328,-0.241299,0.087450
23.168920,-0.492679,0.421060,-0.313106
23.273710,-0.528440,-0.425216,1.017805
23.378498,0.356699,0.402932,-0.900274
23.483288,-0.110551,0.806640,-0.242719
23.588076,-0.443201,-0.818097,0.465521
23.692866,0.106379,0.090341,-0.391430
23.797654,0.983854,0.211657,0.523488
23.902444,0.616643,0.558155,0.064860
24.007232,1.167396,-0.280650,-0.043988
24.112022,-0.836608,-0.110624,0.081224
24.216810,-0.098223,-0.424318,0.643463
24.321599,0.788036,0.466863,0.018031
24.426387,-0.728436,-0.133905,-0.245711
24.531177,-0.488604,-0.104461,-0.192639
24.635965,-0.451869,0.456489,-0.117959
24.740755,0.003082,0.412710,-0.089180
24.845543,1.498627,-0.274240,0.863818
24.950333,0.583467,-0.158664,0.208884
25.055121,-0.189661,0.189935,-0.527190
25.159910,1.257795,0.364219,-0.114869
25.264698,1.247125,0.695757,0.727931
25.369488,0.938755,-0.707157,0.039299
25.474276,-2.040916,-0.960866,0.193875
25.579065,0.853759,0.639610,0.624845
25.683853,0.305647,0.443222,-0.609032
