"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","V2118A"
"deviceBrand","vivo"
"deviceBoard","kona"
"deviceManufacturer","vivo"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","14"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","lsm6dsm Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.15"
"accelerometer Version","1"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","vivo"
"linear_acceleration Range","1.0"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.001"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","qualcomm"
"gravity Range","156.99008"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","lsm6dsm Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.905033"
"gyroscope Resolution","0.0012216945"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","200000"
"gyroscope Power","0.555"
"gyroscope Version","1"
"magnetic_field Name","maglib_mag  Non-wakeup"
"magnetic_field Vendor","vivo"
"magnetic_field Range","4912.2"
"magnetic_field Resolution","0.6"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","0.001"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","alsps Ambient Light Sensor Non-wakeup"
"light Vendor","vivo"
"light Range","65535.0"
"light Resolution","0.01"
"light MinDelay","1"
"light MaxDelay","1000000000"
"light Power","0.09"
"light Version","1"
"proximity Name","alsps Proximity Sensor Wakeup"
"proximity Vendor","vivo"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.183"
"proximity Version","1"
"temperature Name","lsm6dsm Sensor Temperature Sensor Non-wakeup"
"temperature Vendor","STMicro"
"temperature Range","85.0"
"temperature Resolution","0.0039"
"temperature MinDelay","200000"
"temperature MaxDelay","1000000"
"temperature Power","0.24"
"temperature Version","1"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","rotation_vector  Non-wakeup"
"attitude Vendor","vivo"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","10000"
"attitude MaxDelay","200000"
"attitude Power","0.001"
"attitude Version","1"
