Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.097837,52.349508,4.923717,NaN,NaN,NaN,265.000000,0.000000
3.283444,52.350679,4.925717,-3.228192,1.120000,216.300003,5.762573,7.248165
3.306984,52.350669,4.925712,-3.287718,1.120000,216.300003,5.779871,7.255730
4.306984,52.350655,4.925695,0.386631,1.370000,216.300003,4.154156,5.055315
5.306984,52.350639,4.925679,1.479677,1.580000,216.300003,3.790092,3.635771
6.306984,52.350620,4.925659,3.425378,2.210000,219.100006,3.790092,3.099022
7.306984,52.350602,4.925637,4.166489,2.000000,219.399994,3.790092,2.760893
8.306984,52.350585,4.925615,3.549144,2.090000,219.500000,3.790092,2.728485
9.306984,52.350564,4.925590,3.424465,3.110000,223.600006,3.790092,2.500000
10.306984,52.350542,4.925560,3.360452,2.730000,226.000000,3.790092,2.532803
11.306984,52.350524,4.925535,3.403747,2.220000,226.100006,3.790092,2.553666
12.306984,52.350504,4.925505,2.618057,3.210000,225.600006,3.790092,2.500000
13.306984,52.350484,4.925475,2.566986,2.340000,224.699997,3.790092,2.500000
14.306984,52.350474,4.925458,2.673407,0.900000,226.500000,3.790092,2.500000
15.306984,52.350472,4.925455,3.525515,0.000000,NaN,3.790092,2.500000
16.306984,52.350472,4.925455,3.968997,0.000000,NaN,3.790092,2.500000
17.306984,52.350474,4.925453,4.214420,0.000000,NaN,3.790092,2.500000
18.306984,52.350473,4.925450,4.925477,0.000000,NaN,3.790092,2.500000
19.306984,52.350470,4.925446,4.821101,0.410000,226.800003,3.790092,2.500000
20.306984,52.350461,4.925432,4.767795,1.890000,224.800003,3.790092,2.500000
21.306984,52.350448,4.925412,4.164860,1.610000,224.699997,3.790092,2.500000
22.306984,52.350433,4.925391,4.000520,2.150000,220.100006,3.790092,2.500000
23.306984,52.350415,4.925371,3.721431,2.420000,216.000000,3.790092,2.500000
24.306984,52.350396,4.925356,3.608541,2.270000,208.899994,3.790092,2.500000
25.306984,52.350376,4.925341,3.360884,2.660000,206.699997,3.790092,2.500000
26.306984,52.350350,4.925316,3.802606,3.600000,214.000000,3.790092,2.500000
