"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.746669000E-2,2.642600238E-1,-4.002805799E-2,9.892617226E0
1.477983970E-1,2.439841181E-1,1.480664164E-1,9.748665810E0
2.477983970E-1,1.184381619E-1,8.604162186E-2,9.811887741E0
3.477983970E-1,9.157821536E-2,3.187280893E-2,9.780838013E0
4.477983970E-1,9.299977124E-2,-5.027823523E-2,9.817573547E0
5.477983970E-1,1.236006618E-1,3.374328092E-2,9.805603027E0
6.477983970E-1,1.666214764E-1,6.112696230E-2,9.804106712E0
7.477983970E-1,1.212064624E-1,1.496376097E-2,9.815179825E0
8.477983970E-1,6.860884279E-2,7.773673534E-2,9.800664902E0
9.477983970E-1,1.117792949E-1,6.935703009E-2,9.806724548E0
1.047798397E0,1.011550203E-1,6.771101803E-2,9.790339470E0
1.147798397E0,1.131260321E-1,6.786065549E-2,9.803133965E0
1.247798397E0,1.075146198E-1,7.796119153E-2,9.790863037E0
1.347798397E0,7.751227915E-2,4.391863570E-2,9.815703392E0
1.447798397E0,9.569324553E-2,1.105821878E-1,9.802161217E0
1.547798397E0,1.298106164E-1,5.140051618E-2,9.810465813E0
1.647798397E0,1.045218706E-1,1.488894224E-1,9.815104485E0
1.747798397E0,1.636287272E-1,1.938555241E-1,9.799991608E0
1.847798397E0,-1.254711300E-1,6.165069342E-2,9.774777412E0
1.947798397E0,9.210194647E-2,1.032499503E-2,9.832761765E0
2.047798397E0,2.315641940E-1,6.404489279E-2,9.794155121E0
2.147798397E0,1.303343624E-1,3.052607179E-2,9.815628052E0
2.247798397E0,5.289689451E-2,1.097591817E-1,9.809718132E0
2.347798397E0,1.227028370E-1,1.532289088E-1,9.766771317E0
2.447798397E0,8.678980917E-2,1.149216816E-1,9.795726776E0
2.547798397E0,7.930792868E-3,5.297171324E-2,9.792808533E0
2.647798397E0,1.318307370E-1,6.464344263E-2,9.798645020E0
2.747798397E0,2.094178349E-1,7.369652390E-2,9.792734146E0
2.847798397E0,1.309329122E-1,3.104980290E-2,9.812860489E0
2.947798397E0,7.032967359E-2,3.037643433E-2,9.783007622E0
3.047798397E0,1.857750863E-1,9.591770917E-2,9.788469315E0
3.147798397E0,1.343745738E-1,4.182371125E-2,9.807473183E0
3.247798397E0,8.177695423E-2,7.900865376E-2,9.788319588E0
3.347798397E0,9.614216536E-2,7.758709788E-2,9.796324730E0
3.447798397E0,7.324761152E-2,7.055412978E-2,9.806126595E0
3.547798397E0,-4.825812951E-2,9.958382696E-2,9.794380188E0
3.647798397E0,1.034744084E-1,6.613982469E-2,9.813010216E0
3.747798397E0,2.369511425E-1,1.230021119E-1,9.777096748E0
3.847798397E0,1.354220323E-2,1.336263865E-1,9.776722908E0
4.111887847E0,3.645172119E-1,-1.734299809E-1,9.973047256E0
4.211887847E0,1.571194828E-1,6.217442453E-2,9.778966904E0
4.311887847E0,-2.515408099E-1,1.574935764E-1,9.799692154E0
4.411887847E0,1.414075345E-1,1.698386818E-1,9.659630775E0
4.511887847E0,1.313070059E-1,1.196352690E-1,9.744400978E0
4.611887847E0,-8.693944663E-2,9.971101880E-1,9.343072891E0
4.711887847E0,-1.287631541E-1,-5.271732807E-1,1.049266338E1
4.811887847E0,1.037736833E-1,-4.342483282E-1,1.027351952E1
4.911887847E0,1.230769306E-1,-2.160767019E-1,1.005826569E1
5.011887847E0,7.908347249E-2,-1.234510262E-2,9.943120003E0
5.111887847E0,7.496844232E-2,7.047931105E-2,9.814431190E0
5.211887847E0,4.040215537E-2,9.112930298E-2,9.763180733E0
5.311887847E0,1.169417873E-1,1.025765762E-1,9.807473183E0
5.411887847E0,9.142857790E-2,5.633855984E-2,9.790713310E0
5.511887847E0,5.910685286E-3,1.090858132E-1,9.779865265E0
5.611887847E0,1.002571918E-2,1.613841653E-1,9.794230461E0
5.711887847E0,3.516483679E-2,1.540519148E-1,9.782184601E0
5.811887847E0,3.558382273E0,-5.597943068E-1,9.235333443E0
5.911887847E0,2.362703085E0,-6.883329712E-3,9.208024979E0
6.011887847E0,-1.819967389E0,-1.398363411E-1,9.541716576E0
6.111887847E0,-7.900117636E-1,-2.087444663E-1,1.103839207E1
6.211887847E0,5.214870721E-2,-6.217442751E-1,1.036614513E1
6.311887847E0,3.088520169E-1,2.615665495E-1,9.364620209E0
6.411887847E0,1.861192584E0,3.064578176E-1,8.233136177E0
6.511887847E0,-4.896142483E-1,6.028898954E-1,9.392453194E0
6.611887847E0,2.434005260E0,-1.785625577E0,1.082575703E1
6.711887847E0,-6.107459068E-1,-1.356838942E0,9.556231499E0
6.811887847E0,-1.738040805E0,-1.237203717E0,9.468469620E0
6.911887847E0,-7.958924770E0,-1.998485088E0,8.969202995E0
7.011887847E0,-5.948543549E0,-2.671031356E-1,9.216629028E0
7.111887847E0,-4.588188171E0,-2.919429779E0,1.034542084E1
7.211887847E0,-5.768305302E0,-2.664297581E0,1.016839886E1
7.311887847E0,-6.332813263E0,1.998485088E0,8.840515137E0
7.411887847E0,-1.153653526E1,-8.883834839E0,1.113071823E1
