"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.233269700E-2,-4.333345965E-2,-1.040869020E-2,1.307331491E-2
1.126525640E-1,-1.240715943E-2,2.165007609E-4,-9.226263501E-3
2.126525640E-1,1.232389011E-3,8.926493116E-3,-2.612997591E-2
3.126525640E-1,1.765313908E-3,2.348200651E-3,-4.812978674E-3
4.126525640E-1,-3.214203520E-3,-2.115045907E-3,-3.813744290E-3
5.126525640E-1,-1.831929549E-4,-5.728943273E-3,3.430704353E-3
6.126525640E-1,6.761485245E-3,7.161179092E-3,1.182427281E-3
7.126525640E-1,-2.481431933E-3,8.976454847E-3,-3.080972470E-3
8.126525640E-1,6.928024348E-3,7.560872938E-3,-5.645673722E-3
9.126525640E-1,9.659265052E-4,2.498085669E-4,5.162710324E-3
1.012652564E0,2.381508471E-3,6.028713658E-3,2.731240354E-3
1.112652564E0,2.548047341E-3,2.814509906E-3,2.048430266E-3
1.212652564E0,2.115045907E-3,5.579058081E-3,2.381508471E-3
1.312652564E0,4.130168352E-3,7.327718195E-3,-5.196018144E-3
1.412652564E0,-2.997702977E-4,-1.015888178E-3,1.798621728E-3
1.512652564E0,1.182427281E-3,-1.348966267E-3,8.293644525E-3
1.612652564E0,3.797090380E-3,1.565467101E-3,9.093032219E-3
1.712652564E0,5.662327749E-4,3.397396533E-3,-7.244448643E-3
1.812652564E0,-3.364088712E-3,-1.315658446E-3,-7.211140823E-3
1.912652564E0,-8.143759333E-3,-2.386504598E-2,3.523966298E-2
2.012652564E0,-9.659265168E-3,-7.277756464E-3,2.218300104E-2
2.112652564E0,-2.214969369E-3,-2.964395098E-3,-7.827335503E-4
2.212652564E0,1.220731251E-2,6.828100886E-4,4.529862199E-3
2.312652564E0,-8.493491332E-4,-3.380742623E-3,1.557140145E-2
2.412652564E0,5.845520645E-3,1.415581908E-3,-6.661561929E-5
2.512652564E0,-5.362557247E-3,-2.165007609E-4,-8.959800936E-3
2.612652564E0,-5.395865068E-3,-1.049195975E-2,1.285681408E-2
2.712652564E0,-3.247511340E-3,-7.993874140E-3,8.793261833E-3
2.812652564E0,2.448124113E-3,2.814509906E-3,-1.120807789E-2
2.912652564E0,-3.464012174E-3,3.047664650E-3,-2.414816292E-3
3.012652564E0,8.660030435E-4,1.315658446E-3,8.493491448E-3
3.112652564E0,3.047664650E-3,5.762251094E-3,-1.299004536E-3
3.212652564E0,3.913667519E-3,6.661561783E-3,-7.127871271E-3
3.312652564E0,3.530627815E-3,1.365620177E-3,6.794793066E-3
3.412652564E0,2.031776356E-3,1.197415777E-2,-6.561638322E-3
3.512652564E0,-3.380742623E-3,7.460949477E-3,-6.062021479E-3
3.612652564E0,-3.047664650E-3,-1.280685235E-2,3.036006913E-2
3.712652564E0,-4.163476173E-3,-8.293644525E-3,3.215869144E-2
3.812652564E0,2.414816292E-3,1.685375161E-2,-2.251607925E-2
4.129468844E0,5.972090364E-2,-1.115811639E-3,4.962863866E-3
4.229468844E0,2.454785630E-2,4.546516109E-3,-1.189088821E-2
4.329468844E0,6.628253963E-3,-1.114146225E-2,7.427641656E-3
4.429468844E0,-5.112748593E-3,3.164242022E-3,9.026416577E-3
4.529468844E0,-8.043835871E-3,-3.963629249E-3,-1.100823097E-2
4.629468844E0,-1.802119017E-1,1.653732732E-2,-1.325650793E-2
4.729468844E0,5.147721991E-2,4.996171629E-5,-1.505513024E-2
