"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.739072100E-2,-1.398390651E0,2.115229130E0,2.743511200E-1
1.277096110E-1,-1.474361897E0,2.003555059E0,3.824768066E-1
2.277096110E-1,-1.653949261E0,2.025850058E0,3.930740356E-1
3.277096110E-1,-1.639923215E0,2.016179800E0,2.824525833E-1
4.277096110E-1,-1.601985097E0,1.818352699E0,3.905143738E-1
5.277096110E-1,-1.571849942E0,2.075446129E0,2.743539810E-1
6.277096110E-1,-1.599089861E0,2.038410902E0,3.493938446E-1
7.277096110E-1,-1.522987247E0,1.838200450E0,4.235877991E-1
8.277096110E-1,-1.646096110E0,2.103690863E0,2.677288055E-1
9.277096110E-1,-1.544793129E0,1.967697144E0,3.663368225E-1
1.027709611E0,-1.635184765E0,1.991756558E0,3.350286484E-1
1.127709611E0,-1.489480019E0,1.974523544E0,3.158254623E-1
1.227709611E0,-1.571064353E0,1.995256782E0,2.904434204E-1
1.327709611E0,-1.590240121E0,1.964597702E0,3.166713715E-1
1.427709611E0,-1.552477956E0,1.997822642E0,3.406505585E-1
1.527709611E0,-1.491277218E0,1.998300791E0,2.927045822E-1
1.627709611E0,-1.475149155E0,2.047146797E0,3.070125580E-1
1.727709611E0,-1.391230226E0,2.079604387E0,3.299579620E-1
1.827709611E0,-1.811675310E0,1.930717468E0,3.224496841E-1
1.927709611E0,-1.437894702E0,1.963111997E0,2.221336365E-1
2.027709611E0,-1.414936304E0,1.933839798E0,3.250827789E-1
2.127709611E0,-1.470934391E0,1.921193361E0,3.016366959E-1
2.227709611E0,-1.549086332E0,2.042215586E0,2.536926270E-1
2.327709611E0,-1.476292491E0,1.954289675E0,3.349933624E-1
2.427709611E0,-1.540874243E0,2.028351784E0,2.565622330E-1
2.527709611E0,-1.609285712E0,1.912299633E0,2.926578522E-1
2.627709611E0,-1.472083569E0,1.937366128E0,3.244314194E-1
2.727709611E0,-1.419233799E0,1.967833996E0,3.087234497E-1
2.827709611E0,-1.477901578E0,1.951886773E0,2.792625427E-1
2.927709611E0,-1.629088759E0,1.836621165E0,3.657493591E-1
3.027709611E0,-1.457689047E0,1.927590609E0,3.312234879E-1
3.127709611E0,-1.477385044E0,1.879693270E0,3.054676056E-1
3.227709611E0,-1.527381539E0,1.934331059E0,3.002014160E-1
3.327709611E0,-1.458788037E0,1.921470761E0,2.887468338E-1
3.427709611E0,-1.455564499E0,1.984335423E0,2.093334198E-1
3.527709611E0,-1.619935632E0,1.880707026E0,3.179044724E-1
3.627709611E0,-1.475557804E0,1.908664107E0,2.974176407E-1
3.727709611E0,-1.262001514E0,1.798058271E0,3.582735062E-1
3.827709611E0,-1.549902201E0,1.869894147E0,3.252925873E-1
4.267550424E0,-4.649125785E-2,-1.603736281E-1,-1.393680573E-1
4.367550424E0,-2.142215967E-1,-1.452841759E-1,-4.942035675E-2
4.467550424E0,1.376869529E-2,-3.622274995E-1,2.906894684E-2
4.567550424E0,3.201687336E-2,-3.303163052E-1,1.797103882E-2
4.667550424E0,-2.842621207E-1,-9.387083054E-1,9.569921494E-1
4.767550424E0,-6.270557642E-3,-3.764354587E-1,1.161050797E-1
4.867550424E0,-6.441254914E-2,-2.130201310E-1,-9.560966492E-2
4.967550424E0,-1.016192660E-1,-1.022801399E-1,-1.330204010E-1
5.067550424E0,4.772718996E-2,-2.098356038E-1,-1.045303345E-1
5.167550424E0,-5.881939456E-2,-2.154426873E-1,-6.561946869E-2
5.267550424E0,-5.425735191E-2,-2.656887174E-1,-8.954048157E-3
5.367550424E0,2.668878436E-2,-2.974035144E-1,-2.197265625E-3
5.467550424E0,-1.056758314E-2,-2.984709740E-1,3.176689148E-3
5.567550424E0,-5.878755450E-2,-2.732307911E-1,-1.694107056E-2
5.667550424E0,-1.713633537E-5,-2.529107332E-1,3.769874573E-3
5.767550424E0,1.200249493E-1,-4.313997626E-1,-6.813716888E-2
5.867550424E0,-3.879120350E-1,-3.180986047E-1,1.429395676E-1
5.967550424E0,-5.059262738E-3,-1.797354519E-1,8.782100677E-2
6.067550424E0,-7.845447063E-1,-6.389541626E-1,1.070499420E0
6.167550424E0,1.011884689E0,-1.065657616E0,2.563419342E-1
6.267550424E0,8.670605421E-1,-4.309618473E-2,6.819725037E-3
6.367550424E0,-3.366212845E-1,-3.697087169E-1,-3.815526962E-1
6.467550424E0,6.774923801E-1,-3.511154354E-1,3.120870590E-1
6.567550424E0,1.126282930E0,-8.061282635E-1,-3.520498276E-1
6.667550424E0,2.037441969E0,-1.599432230E0,9.361152649E-1
6.767550424E0,2.416589975E0,-7.939103842E-1,-1.059380531E0
6.867550424E0,-1.399010420E0,-1.099628925E0,6.482934952E-1
6.967550424E0,-3.503563881E0,1.465496778E0,8.953485489E-1
7.067550424E0,7.212271690E-1,-4.311597347E-2,6.590328217E-1
7.167550424E0,3.038311005E-1,3.614971638E-1,2.716884613E-1
7.267550424E0,-1.398187637E0,6.272041798E-2,1.089712143E0
7.367550424E0,1.154517555E1,2.385032177E0,-1.074254990E0
7.467550424E0,6.537168503E0,4.579677582E0,9.676313400E-1
7.567550424E0,-2.269346237E0,-6.572918415E0,1.183293343E0
7.667550424E0,-3.892712593E-1,-1.795283914E0,2.377719879E-1
7.767550424E0,1.297407150E0,8.263468742E-2,-7.458400726E-2
7.867550424E0,1.761240959E0,1.200440526E0,-1.193056107E0
7.967550424E0,2.202110052E0,2.021198750E0,8.214597702E-1
8.067550424E0,-3.602476120E-1,1.324002147E0,9.379491806E-1
8.167550424E0,1.298727989E-1,3.631927967E-1,2.566709518E-1
8.267550424E0,1.204242229E0,-2.627925873E-1,1.298385620E0
8.367550424E0,-2.215266228E-1,4.919993877E-2,-2.257471085E-1
