"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.233353150E1,4.865274000E0,1.670216978E0,NaN,NaN,2.646299934E1,6.609634399E0
5.899504560E0,5.233346902E1,4.865227297E0,4.185176511E0,0.000000000E0,NaN,2.174447632E1,3.224261475E1
6.899572229E0,5.233351428E1,4.865225185E0,1.099151256E0,0.000000000E0,NaN,8.860891342E0,1.056926346E1
7.916700037E0,5.233353721E1,4.865234226E0,2.699508376E0,0.000000000E0,NaN,7.271296978E0,5.417422771E0
9.017861251E0,5.233354286E1,4.865242060E0,2.978730389E0,7.444298863E-1,7.205534363E1,5.897840500E0,4.115841866E0
1.001947258E1,5.233353700E1,4.865255017E0,2.983938108E0,6.257433891E-1,1.052272186E2,8.842135429E0,3.354947567E0
1.102720069E1,5.233353078E1,4.865272740E0,2.679969691E0,7.566962242E-1,9.592760468E1,9.035759926E0,3.000000000E0
1.203256784E1,5.233352808E1,4.865296521E0,1.869213746E0,1.484278798E0,8.769506073E1,9.038021088E0,3.000000000E0
1.302295224E1,5.233352904E1,4.865330359E0,1.529112035E0,2.081872702E0,1.001709518E2,9.040281296E0,3.000000000E0
1.402801356E1,5.233353023E1,4.865374372E0,1.514470455E0,2.450686932E0,9.661972046E1,9.329421997E0,3.000000000E0
1.501653004E1,5.233353271E1,4.865421924E0,1.538065920E0,2.923295498E0,9.924562073E1,9.000861168E0,3.000000000E0
1.602823992E1,5.233353011E1,4.865469921E0,1.477511673E0,2.825335026E0,9.494136810E1,8.903222084E0,3.000000000E0
1.702565634E1,5.233352812E1,4.865513754E0,1.103529133E0,3.284061193E0,8.637550354E1,8.905867577E0,3.000000000E0
1.802821245E1,5.233353023E1,4.865566211E0,9.713211323E-1,3.929311037E0,9.128404236E1,8.908576965E0,3.000000000E0
1.902391985E1,5.233352961E1,4.865629065E0,1.114537578E0,4.789579868E0,8.918627930E1,9.351427078E0,3.000000000E0
2.001719894E1,5.233352942E1,4.865704141E0,1.222685159E0,5.423728466E0,9.079404449E1,8.918252945E0,3.000000000E0
2.101748911E1,5.233353093E1,4.865795764E0,1.396884995E0,6.151754856E0,8.735607910E1,6.660493851E0,3.000000000E0
2.201672706E1,5.233353306E1,4.865887126E0,1.197961153E0,6.357797146E0,8.218966675E1,7.319773674E0,3.000000000E0
2.302751336E1,5.233354896E1,4.865981784E0,1.253560981E0,6.297881603E0,7.894696045E1,5.286014080E0,3.000000000E0
2.401732102E1,5.233356819E1,4.866069889E0,1.365188057E0,5.997376919E0,7.453483582E1,6.680766106E0,3.000000000E0
2.502728216E1,5.233358230E1,4.866153960E0,1.512164153E0,5.625409603E0,7.806697845E1,6.680247784E0,3.000000000E0
2.602295106E1,5.233359734E1,4.866236241E0,1.607054867E0,5.041707993E0,8.789308167E1,6.679729462E0,3.000000000E0
2.702331239E1,5.233360050E1,4.866305626E0,1.760053682E0,4.767790318E0,9.540358734E1,6.679209709E0,3.000000000E0
2.802304876E1,5.233359909E1,4.866375205E0,1.704674440E0,4.316743374E0,9.682864380E1,6.678690910E0,3.000000000E0
2.902845017E1,5.233359889E1,4.866439573E0,1.659907004E0,4.286147594E0,9.224138641E1,6.678172112E0,3.000000000E0
3.001918756E1,5.233359987E1,4.866502598E0,1.555616865E0,4.178698540E0,8.890602875E1,6.677654266E0,3.000000000E0
3.102821360E1,5.233360469E1,4.866569133E0,1.556857795E0,4.404369831E0,8.440229034E1,6.677135944E0,3.000000000E0
3.202025372E1,5.233360957E1,4.866634732E0,1.495162033E0,4.427996159E0,8.128313446E1,6.676617146E0,3.000000000E0
3.301790924E1,5.233361323E1,4.866698615E0,1.502412773E0,4.071527004E0,8.562971497E1,4.591045856E0,3.000000000E0
3.402551784E1,5.233361615E1,4.866758362E0,1.394008455E0,3.947297096E0,8.692719269E1,5.281926155E0,3.000000000E0
3.501262880E1,5.233361824E1,4.866817467E0,1.445575069E0,3.857937813E0,8.601781464E1,6.675065041E0,3.000000000E0
3.602188824E1,5.233361971E1,4.866870851E0,1.358363322E0,3.722326040E0,8.615177155E1,5.281186104E0,3.000000000E0
3.702253363E1,5.233362154E1,4.866930023E0,1.123889949E0,4.356511116E0,8.719774628E1,5.280816078E0,3.000000000E0
3.801781504E1,5.233362335E1,4.866994868E0,1.144344414E0,4.538442612E0,8.973091125E1,4.649186134E0,3.000000000E0
3.901769208E1,5.233362273E1,4.867061837E0,1.129641703E0,3.929432154E0,9.422920227E1,5.716004848E0,3.000000000E0
4.002036269E1,5.233361933E1,4.867126558E0,1.109284013E0,4.131904602E0,9.222888947E1,5.989091396E0,3.000000000E0
4.102280707E1,5.233361775E1,4.867190994E0,9.728881753E-1,4.305471420E0,8.771670532E1,5.715978622E0,3.000000000E0
4.202710651E1,5.233361737E1,4.867254063E0,1.342591019E0,4.167920589E0,8.691977692E1,4.614418983E0,3.000000000E0
4.301520583E1,5.233361875E1,4.867310786E0,1.783025087E0,3.170508146E0,7.630015564E1,5.344843864E0,3.000000000E0
4.402068626E1,5.233362337E1,4.867352412E0,1.875193855E0,3.593576431E0,7.117190552E1,4.505948544E0,3.000000000E0
