label_start,label_end,label
0,8, stop
8,13.5,normal
13.5,25,accelerate
25,58,normal
58,65,turn
65,87,normal
87,89.5,brake
89.5,97,normal
97,102,accelerate
102,111,normal
111,118,turn
118,137,normal
137,143,turn
143,151,normal
151,160.5,accelerate
160.5,222,normal
222,225.5,brake
225.5,253,stop
253,261,accelerate
261,275,normal
275,286,accelerate
286,306,normal
306,311,turn
311,336,normal
336,345,accelerate
345,403,normal
403,408,turn
408,419.5,normal
419.5,442,turn
442,458.5,normal
458.5,463,accelerate
463,475,turn
475,478,brake
478,518.5,normal
518.5,530,turn
530,532.5,normal
532.5,538,turn
538,547,normal
547,551.5,turn
551.5,555,normal
555,559,brake
559,565,stop
