,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft
0.0,-0.5608925,-0.13669025,9.85184925,-0.0010692499999999999,-0.0035125,0.010995000000000001,0.11502875,-0.16048774999999998,0.11608399999999999,52.34584,4.921309,,,,88.951065,0.0,1,0,0,0,0,0
0.5,-1.3462020000000001,0.02913260000000002,10.115119400000001,-0.0011606000000000006,-0.1347222,0.0085826,-1.1200852,0.4994262,-0.1465052,,,,,,,,1,0,0,0,0,0
1.0,-1.2882959999999999,1.2114864,9.5206828,-0.004672999999999999,-0.020860399999999998,-0.05030340000000001,-0.8700867999999999,1.1913386,-0.04215199999999998,52.346031,4.922021,3.758512,0.0,,8.022825,9.391571,1,0,0,0,0,0
1.5,-0.6818348,0.4253842,10.389456599999999,0.04450020000000001,-0.1051574,0.016401199999999994,0.6468402,0.3570584,0.18822159999999996,,,,,,,,1,0,0,0,0,0
2.0,0.6966703999999999,1.0976474,9.386564799999999,-0.124735,0.091963,-0.4077406,0.4547782000000001,-0.07702640000000001,-0.07873819999999995,52.346031,4.92202,3.810086,0.0,,5.156422,6.295263,1,0,0,0,0,0
2.5,-0.7129414000000001,-0.5231308,9.852207799999999,0.0843884,-0.22717419999999997,0.5546492000000001,-0.9484638000000001,-0.4521426,-0.285389,,,,,,,,1,0,0,0,0,0
3.0,1.2092728,-0.03475580000000002,10.6240728,0.0620314,0.18417060000000002,-0.21770620000000002,0.5165523999999999,0.37438520000000003,-0.5108438000000002,52.346026,4.922008,4.658217,0.69,267.600006,4.201442,4.699179,1,0,0,0,0,0
3.5,0.3928416,0.14368879999999998,11.170414,-0.015423799999999998,0.11832099999999998,-0.47071880000000005,0.9298420000000001,0.7934466,0.0068096000000000155,,,,,,,,1,0,0,0,0,0
4.0,-1.3569696,-1.8164514,9.7457274,0.184201,-0.14483200000000002,0.028831999999999997,0.27762159999999997,0.6839554,-1.8035066,52.346024,4.921983,5.333738,1.48,272.899994,3.895981,4.031568,1,0,0,0,0,0
4.5,0.7263414000000001,0.09936199999999991,9.368379000000001,0.1097996,-0.018752999999999975,0.173603,1.1021114,0.39939,-0.8353234,,,,,,,,1,0,0,0,0,0
5.0,-1.0291530000000002,1.3746766000000001,7.8359556,-0.2545096,-0.1750078,0.019913599999999997,-0.29058080000000003,-1.6296258000000001,1.4218886,52.346024,4.921949,5.045937,2.15,274.600006,3.790092,3.547343,1,0,0,0,0,0
5.5,0.2845066,-1.2104692,12.5747614,0.21132279999999998,-0.007879999999999998,-0.1855754,0.2999846,-0.9236907999999999,0.3311432000000001,,,,,,,,1,0,0,0,0,0
6.0,0.3547956,1.5346366,8.756654000000001,-0.37203640000000004,-0.13371439999999998,0.25362359999999995,1.0269385999999998,-0.2577306000000001,-1.6992730000000003,52.346025,4.921908,4.627335,2.41,275.100006,3.790092,3.238744,1,0,0,0,0,0
6.5,-0.03613160000000004,-0.9168700000000001,10.6370536,0.07828020000000002,0.0430648,-0.1715258,0.08308080000000011,-0.6611646,1.0539858,,,,,,,,1,0,0,0,0,0
7.0,-0.7131807999999998,0.6935597999999998,9.8158368,-0.044256000000000004,0.018997400000000005,0.052532800000000004,-0.05313960000000002,-1.4602006,0.5272819999999999,52.346026,4.921866,5.15252,2.56,274.5,3.790092,2.962852,1,0,0,0,0,0
7.5,0.6851247999999999,-0.09284139999999992,10.302118600000002,0.25212719999999994,0.053815800000000004,-0.0392164,-0.3191234,-0.2273778000000001,0.20919520000000008,,,,,,,,1,0,0,0,0,0
8.0,0.2303092,-1.7058432,11.3767948,0.061298599999999995,-0.0343908,0.1357304,-0.24271599999999988,-1.6300508,2.2602912,52.346026,4.921827,4.924714,2.26,273.0,3.790092,2.789038,1,0,0,0,0,0
8.5,0.4902894,1.9249062000000001,8.1627556,0.03295519999999999,0.0315808,-0.0239452,-0.019806999999999953,-0.16780760000000003,-0.6291712,,,,,,,,1,0,0,0,0,0
9.0,-0.22833499999999995,2.5395028,9.0338628,-0.3416162,-0.036589800000000006,0.004031599999999996,0.357135,-2.0886158000000004,1.0501875999999999,52.346025,4.921783,5.135809,3.23,270.399994,3.790092,2.5,1,0,0,0,0,0
9.5,1.497309,2.6976682,7.5943402,-0.2895722,-0.1998078,0.009162799999999994,1.8240906,-2.4606003999999997,2.5598222,,,,,,,,1,0,0,0,0,0
10.0,-0.08787640000000004,1.9499707999999998,9.281220600000001,-0.25744160000000005,-0.04697420000000001,0.19058419999999998,-0.5448116,-1.8179379999999998,0.8606902000000002,52.346025,4.921736,5.639993,2.94,270.600006,3.790092,2.5,1,0,0,0,0,0
10.5,-0.08715860000000004,-0.6083151999999998,11.012367600000001,0.1223832,-0.09352079999999999,-0.0456916,1.3276886,0.42529440000000013,-1.4100568,,,,,,,,1,0,0,0,0,0
11.0,1.0850252,0.1972282,8.9197844,-0.09367339999999998,0.030603399999999996,-0.044225400000000005,0.4011474,-1.22382,0.6062398000000002,52.346025,4.921692,5.820876,2.95,270.600006,3.790092,2.5,1,0,0,0,0,0
11.5,-0.5501697999999999,-0.5717051999999999,9.7357972,0.1523146,0.09144379999999999,0.04129320000000001,-0.6923912,1.0391004,-2.3550972000000003,,,,,,,,1,0,0,0,0,0
12.0,-0.7561318,1.0646862000000001,8.9362952,-0.048898,-0.13310340000000004,0.1277894,0.44439400000000007,-0.6150097999999999,-0.17214720000000003,52.346024,4.921645,6.147142,3.19,270.899994,3.790092,2.5,1,0,0,0,0,0
12.5,0.9672986,-1.4642878000000001,11.3602846,0.1822466,0.07837160000000001,-0.043370200000000005,-0.406647,0.7206074,-0.6609406,,,,,,,,1,0,0,0,0,0
13.0,0.5175676,1.2567104,8.2468036,-0.1915924,0.0573586,0.0356734,0.42786280000000004,-2.4521676,1.4798126,52.346023,4.921597,6.094135,3.19,269.600006,3.790092,2.5,1,0,0,0,0,0
13.5,-1.5230316000000002,1.2716655999999997,7.912585999999999,0.02660260000000001,-0.0574808,-0.1513678,-0.40907419999999994,-0.08840559999999993,-1.4268670000000003,,,,,,,,1,0,0,0,0,0
14.0,0.7852644000000001,-2.340719,11.065369,0.5422796,-0.0565034,-0.025288999999999996,-0.5721323999999999,2.8213764,-5.059037,52.346022,4.921547,5.90453,3.34,268.899994,3.790092,2.5,1,0,0,0,0,0
14.5,-1.3593626,1.3026526000000003,7.7208011999999995,-0.20432839999999994,-0.311349,0.27708000000000005,-0.5310651999999999,-2.6508078,1.354615,,,,,,,,1,0,0,0,0,0
15.0,0.5505283999999998,-0.6042473999999999,10.209396600000002,0.4308612,0.48617340000000003,-0.24482760000000003,-1.931598,0.05576420000000004,-2.0630981999999998,52.346022,4.921497,5.699727,3.23,269.0,3.790092,2.5,1,0,0,0,0,0
15.5,1.8352352,-2.7814766,5.263851000000001,1.0644012,0.15814820000000002,0.06010740000000001,1.2045964,1.9148177999999998,-10.2362962,,,,,,,,1,0,0,0,0,0
16.0,0.4152743999999998,-3.8867816000000004,12.462239400000001,0.15536900000000003,0.1570486,0.0052531999999999805,-1.577587,-0.9679518000000001,0.707745,52.346021,4.921449,5.185416,3.14,270.299988,3.790092,2.5,1,0,0,0,0,0
16.5,-0.049591399999999994,-1.9241286000000002,9.9271632,0.2799818,-0.13004939999999998,0.05790820000000002,1.0895705999999998,3.3162987999999998,-4.6056286,,,,,,,,1,0,0,0,0,0
17.0,0.5928218,2.1461227999999997,8.002974599999998,-0.24327000000000001,-0.1787952,0.0559534,0.1803528,-2.1629312,1.2208983999999998,52.346022,4.921402,5.416042,3.16,270.700012,3.790092,2.5,1,0,0,0,0,0
17.5,1.9902301999999998,-7.8942808,20.444216599999997,0.5880932,0.21654560000000003,-0.20390060000000002,0.925432,3.4653105999999996,-3.4450591999999993,,,,,,,,1,0,0,0,0,0
18.0,-0.8760121999999999,-0.31890359999999995,8.3453876,0.09856019999999999,-0.0797156,0.1650508,-0.22502700000000014,-0.2963811999999999,-0.8366233999999999,52.346022,4.921353,5.238646,3.21,271.100006,3.790092,2.5,1,0,0,0,0,0
18.5,1.3581062000000002,-1.3141382,10.417931,0.17784819999999998,0.24537740000000005,-0.05998540000000001,0.6494931999999999,0.6527138000000001,0.10727459999999986,,,,,,,,1,1,0,0,0,0
19.0,1.7761924,0.1319642,9.505069,-0.33453039999999995,0.27372060000000004,-0.3184956,1.0981776,-1.1490206,0.721959,52.346022,4.921306,5.256503,3.14,270.0,3.790092,2.5,0,1,0,0,0,0
19.5,1.8159128000000002,-1.2561719999999998,12.5324086,0.3297046,0.3624158,-0.696152,2.5868316,-0.020466800000000073,1.4496768,,,,,,,,0,1,0,0,0,0
20.0,-0.6992427999999999,1.0574480000000002,7.1764342,0.07461520000000002,0.08240320000000001,-0.6394348,3.1037643999999998,-1.9434649999999998,4.563154000000001,52.346025,4.92126,5.836069,3.04,275.399994,3.790092,2.5,0,1,0,0,0,0
20.5,-1.0289734,-1.5131611999999999,9.4186884,0.20790199999999998,-0.041476799999999994,-0.5304905999999999,2.7004454,-0.6513754,0.32777860000000003,,,,,,,,0,1,0,0,0,0
21.0,-0.17012960000000002,-0.39337999999999995,9.0536036,0.025380800000000002,-0.026083400000000007,-0.609259,1.6437908,-1.9630236,2.5856136000000003,52.346031,4.921218,6.012262,2.78,283.399994,3.790092,2.5,0,1,0,0,0,0
21.5,-1.8171692,0.7418946000000002,-3.0976285999999993,-0.34323500000000007,-0.21556819999999996,0.0956588,-0.08617020000000011,0.2639400000000004,-2.529784,,,,,,,,0,1,0,0,0,0
22.0,-0.7711468,3.474857,9.206983600000001,0.033077399999999965,-0.2751868,-0.030817399999999984,0.04322820000000005,-7.884746599999998,4.0291212,52.346045,4.921188,5.508359,2.55,307.100006,3.790092,2.711796,0,1,0,0,0,0
22.5,-1.5698113999999999,-0.6801599999999999,7.865506999999999,0.5376374,-0.283983,-0.1803222,1.0471826,3.5411326,-5.1191144,,,,,,,,1,1,0,0,0,0
23.0,-0.764148,0.9416353999999998,10.944651400000001,-0.1908594,-0.20823799999999998,0.25423460000000003,-1.3400182,0.043712400000000116,2.196968,52.346072,4.921165,5.110497,3.74,332.100006,3.790092,2.799296,1,0,0,0,0,0
23.5,0.5769694000000001,-1.3313666,10.523993,-0.1107162,-0.1322486,0.14525939999999998,2.0354162000000002,-0.10104160000000002,2.1392704,,,,,,,,1,0,0,0,0,0
24.0,0.1570288,-0.5202591999999999,8.004709600000002,0.09684980000000001,0.13261499999999998,-0.07953220000000001,0.1771207999999999,0.5215639999999999,-1.637586,52.34611,4.921149,5.8003,4.31,345.700012,3.790092,2.785358,1,0,0,0,0,0
24.5,-0.9174082,0.8437093999999998,6.8333032000000005,-0.04807379999999999,-0.029137600000000003,0.14941299999999996,-1.902582,0.34381380000000006,-1.0181604000000002,,,,,,,,1,0,0,0,0,0
25.0,0.9090931999999998,-0.8547760000000002,10.798389599999998,0.2537156,0.150818,-0.042270800000000004,1.0372102,-1.3856755999999997,2.9010066,52.346151,4.921134,5.696894,4.32,343.799988,3.790092,2.927264,1,0,0,0,0,0
25.5,0.7665408,-0.34695920000000025,3.9734615999999994,-0.25099720000000003,0.1449542,-0.026754999999999994,1.8380040000000002,0.44524880000000006,-0.3108868,,,,,,,,1,0,0,0,0,0
