,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),labelnormal,labelturnright,labelturnleft,labelbrake,labelstop,labelaccelerate,Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
0.0,-0.7272083724743418,7.105087628461424,6.852316147620801,-0.0010712560333251474,0.03940461645647148,0.05587347163576289,0.03607615606211803,0.13445034782984655,-0.007507346373203171,1,0,0,0,0,0,52.33985700807066,4.952916283615282,4.298495215071277,1.6699971486040566,272.3025215822864,3.7900920000023617,0.6249999999958031,-0.5327904452010291,0.08362312803477398,0.07107983186686234,-0.1878074590899383,-0.09053193267894506,-0.1422349933755168,-0.09576748881644104
0.5,0.13700357140108513,7.479867506742354,6.712724152232446,0.021864613928564196,0.03993338223031563,0.036087930946324,0.15016607849186045,0.3253550756288643,-0.14350522084071732,1,0,0,0,0,0,52.33985579957901,4.9529173315556285,4.293915811869889,1.6903589142758872,271.77337401594633,3.7900920000029115,0.6497290365065757,-0.5368824437862737,0.07280182762115324,0.13774255865760754,-0.1086240634761895,-0.2865670883008307,-0.04324447258453668,-0.18370126794446848
1.0,-1.1285761470878182,7.853317998979954,5.688076423994777,-0.007841883310860737,-0.050326751963662444,0.0015813284324589756,0.36336524047935986,0.0660203366078376,0.03761716878746464,1,0,0,0,0,0,52.339827800422086,4.952926911475838,4.307426623370944,1.6336339701589773,273.2544409365864,3.7900919999924807,1.2057681242446965,-0.5255507746690145,0.10833817911928137,0.12770471256565402,-0.007168208995746911,-0.11178199516686038,-0.259990090342931,0.06634931194973447
1.5,0.3551812483377616,7.436417301840447,7.032709660560411,-0.0014357481162967528,0.12170996528071261,0.18049651006935635,0.11466505944902003,-0.20102343014367427,0.466033343276508,1,0,0,0,0,0,52.3397917094772,4.952943710864255,4.285722305406125,1.7147374095654881,271.0878077387879,3.790092000010055,1.9296907009327515,-0.5245271188623517,0.1590206853539852,-0.10723581835487438,-0.19145595679991623,0.0013725147893933775,0.19238049572227872,0.17476274888251359
2.0,0.8178863600624994,6.991227404228712,8.020765814373476,0.014394445484401285,-0.02249146520014635,-0.06528102314705303,-0.17676022278692802,-0.21766722320801613,0.38087118762923355,1,0,0,0,0,0,52.33976560437784,4.9529518305720295,4.313968903715096,1.6259668120152848,273.56281670035224,3.7900919999900795,2.445328777416929,-0.5173570231677763,0.18368292723886204,-0.04000434576175914,-0.03547430367226262,0.09895698741563833,0.3033752031018484,0.05006276006675092
2.5,-0.49967750182989584,6.893535457101373,7.206818170691014,-0.005225464887137383,-0.09326207485745654,-0.21080366195191985,0.27074042612762417,-0.37462517978136556,0.43193108423127635,1,0,0,0,0,0,52.3397598616328,4.952933688823487,4.4025383581271065,1.5549375901940392,280.58692372985774,3.7900920000074225,2.54537716303652,-0.5019175418000729,0.18510014962238147,0.03959889921358691,0.09794931760221635,0.2908307042659404,0.07594824390779538,0.14721288825428194
3.0,0.060125482342692604,6.704313202777668,6.999024016500453,0.025371128187364606,-0.01257371983561007,-0.11588610607917846,0.6001392641256725,-0.30055364516494926,0.6350088381552096,1,0,0,0,0,0,52.33976389213163,4.95291339181011,4.442047810115165,2.2800246545622276,277.2097644964112,3.7900919999964824,2.469864388100671,-0.5182746018836198,0.16562128676235388,0.08130616690660777,0.06647130056214075,0.2869490188749562,0.2257794568249484,0.15051759346280624
3.5,-0.4224582571763587,7.016575745651295,7.44473858504294,0.008003650038379112,-0.1238884621062878,0.05617603767688961,-0.1290271907616521,-0.22893743480487141,0.168627106120562,1,0,0,0,0,0,52.339762418593004,4.952897701173361,4.4244488945205225,3.082771355242648,270.6729393254797,3.7900919999994755,2.5133118159827115,-0.5354924471610574,0.10323618260818276,-0.011281556596747839,-0.035236001946098786,0.1297312367689811,0.024142546914746668,0.08767632422144761
4.0,-1.1255563798584953,7.912967517320281,7.66844232851092,-0.04076459683531038,0.11303669510599297,0.34805369357558313,-0.5943513555941592,-0.38289390476032026,0.180035933758317,1,0,0,0,0,0,52.339763407933276,4.952872841671082,4.400794933552444,3.152916976724246,271.3983679085874,3.7900920000036313,2.500978271534994,-0.5297513069388271,0.06442878744980099,-0.32639373104286507,-0.33932746678091463,0.008057440574623312,-0.10454126881513398,0.2951957320754575
4.5,0.11834815605124718,7.962361819559696,6.5801739087482565,0.024845072557676637,0.10865538993634752,-0.06129509410521863,-0.023487640241772967,-0.11371504380960845,0.5106939421657511,1,0,0,0,0,0,52.33976449371988,4.952851019530821,4.362358085391633,3.175884733945805,271.8531838163927,3.7900919999947447,2.490048866521075,-0.5369304020276798,0.08988742001956466,-0.011494244198564476,-0.035528775669367796,-0.03186896403625427,0.13574756088823656,0.22964521785380726
5.0,0.20183699800464994,6.7391131367361385,6.134797336251314,0.030747897564963666,-0.11468512357012754,-0.20488883876312705,0.13991741577890957,-0.040845087994892684,0.2023126829549298,1,0,0,0,0,0,52.33976374924595,4.95283133585589,4.303433250647114,3.3392529611652426,271.43668817741116,3.7900920000055573,2.512726185805594,-0.5393326492334379,0.08607371868966637,0.1560397298413829,0.12719889301991136,0.05425751153144632,0.10704494008522175,0.010054005972778127
5.5,-1.0512387995716939,6.520807279719713,7.3095227706153425,-0.0117684217633109,0.0745787176986386,0.16583996815333565,-0.021999935047850527,-0.17358765481546862,0.24828678642096447,1,0,0,0,0,0,52.33976508249336,4.952818361223819,4.295193270587726,3.3916467461027286,272.60156565245643,3.7900919999948415,2.489733393046436,-0.5282737350348256,0.06522958496795773,-0.1277243787265455,-0.1961685913379473,0.15333893439615556,-0.04444020472696303,0.08867395010572236
6.0,-0.5220070958463986,7.1790854722904,7.492026596064745,0.02333601843713626,0.05742078892659127,-0.07337837392427334,0.31950558809506546,-0.09894396255112986,0.46951464493601003,1,0,0,0,0,0,52.33976489560509,4.952796140557621,4.207601784763213,3.5527924631388195,272.0126435624578,3.7900920000046896,2.504785300184853,-0.5352398573294954,0.07642736337719677,0.06114525630713687,-0.011858712205789176,0.14134059940881588,0.07890150600639366,0.12247875904565438
6.5,-0.016757173349254334,6.556315378063419,7.591983761945574,0.0085246786226349,-0.08527616793461679,-0.10111105403045514,0.2394304891393778,-0.24216749123763476,0.2862820964205429,1,0,0,0,0,0,52.339765784642616,4.952748982068286,3.976587575568171,3.725249605011389,270.73164776490484,3.7900919999957057,2.501130371486139,-0.5398295746894555,0.06697624492770929,0.0910130140784912,0.015135329197459869,0.1986032395680114,0.1672518623336504,0.056652524177319974
7.0,-1.444000928442674,6.687800202332466,8.069140546723553,-0.01598237881602935,-0.020071493067769924,0.1372500407075325,-0.2683537753908067,-0.17771543971579454,0.2735649632470005,1,0,0,0,0,0,52.339765931595124,4.952715808579588,3.923115095121349,3.801543260715338,270.1429682395078,3.7900920000035905,2.494636310423366,-0.5330665111638603,0.03955752888764293,-0.09425735248700812,-0.18769597197433702,0.2163219928870967,-0.10685350990915925,0.10688294305750912
7.5,-0.9686744740137555,7.495094332812279,7.445417538455974,0.011458950979639611,0.051465720335166165,0.038929306893557315,-0.0791634687125195,-0.0633971329465388,0.32728665981162264,1,0,0,0,0,0,52.33976451578833,4.952693099790018,3.961149520596413,3.8499647379827655,269.81636656554656,3.790091999997992,2.5068236225878,-0.5369355634019245,0.037223252691627455,-0.016960255107557422,-0.0971538673590104,0.057445176763842073,-0.05437883572802374,0.15356145216246786
8.0,0.03737971932547263,6.9898381730700585,6.146946264703395,0.017711069231199736,0.05881203955400538,-0.033311270857779275,0.25888966782654876,-0.18648344199162897,0.29071177305819645,1,0,0,0,0,0,52.33976487329002,4.952661575341103,3.793521229452605,3.8262724424265326,269.6027179889685,3.790091999999382,2.4944197989387464,-0.539337195726743,0.04500486854707354,0.0425093277118497,-0.03831302537832064,0.03555005437136369,0.13180202933058505,0.1550763170730956
8.5,-0.7611712335644603,7.1780965577027676,5.415665163288294,0.005341802679755935,-0.025835600699786413,-0.0023671358562031156,-0.06359210016488019,-0.1732853775000757,0.27948721495430157,1,0,0,0,0,0,52.33976385189811,4.952635906930818,3.6615675717903153,3.8146022809739586,268.8648109193529,3.7900920000037948,2.5026058374737965,-0.5374435996742816,0.03491034159483734,0.022208983102995468,-0.04071097870555528,0.048529054868964715,-0.07039227107421356,0.22806341684566114
9.0,-0.11825694723430653,6.986168253325968,6.699546294083012,-0.0009780771461595059,-0.00033056120480291773,0.058218313640791136,-0.09843670475352191,-0.16955691882789314,0.23742046069200112,1,0,0,0,0,0,52.3397628833946,4.952615942780948,3.6549683351319464,3.8334858985261206,268.3729588173593,3.790091999993522,2.500727271092674,-0.5390773147047538,0.03343686856158402,-0.02436189915442901,-0.10398770679140436,0.03143834429829873,0.08569524069841435,0.1383476790107907
9.5,-0.007970978057962375,6.420565813541019,7.2330503811490985,0.007697526135350201,0.035976370024980886,0.0049605007190644534,0.21722566191195347,-0.04459144493762065,0.1954412389431034,1,0,0,0,0,0,52.3397623474758,4.952599262403661,3.6207407038230346,3.8637932561802883,267.77296046183415,3.7900920000075815,2.4968126176957055,-0.5381039826235,0.03875544301030593,0.03939761797649317,-0.07736768570809735,0.056036623235027054,0.13882866332128924,7.37801786247598e-05
10.0,-0.3023533267124363,7.72326822464666,5.857815836147442,0.0009801402473106984,-0.018858638794866545,0.007046478031818669,-0.023470313792108403,0.0038240127533798254,0.1874061562303823,1,0,0,0,0,0,52.339760506242385,4.952578560242963,3.6334302304147106,3.8925294363781693,266.73563653926726,3.790091999993499,2.5040761033723853,-0.5424549767857912,0.02228902926393868,0.045998904120255424,-0.014446777181504543,-0.1253285514797177,-0.03331274356525302,0.16954603165431018
10.5,0.8164014834765224,7.44003926953183,6.596178738999825,-0.004750831160286033,0.05711032787292311,0.1729025683204849,-0.31308684916387886,-0.08405483851051937,0.19047832132877277,1,0,0,0,0,0,52.33975903752753,4.952555073950367,3.7015139686146785,3.7999760437419554,266.39595560741645,3.7900920000035754,2.496631122949635,-0.5443017156196165,0.024579656362287424,-0.10522548272872112,-0.17175380044654195,-0.17401503482373687,0.20935690335016424,0.1347025065413593
11.0,-0.5819851716409951,6.530201418312248,7.417042175431291,0.02304277373969356,0.12732569087679504,0.1500577853788238,-0.3605347307133431,0.06348880315007534,0.11857394104424286,1,0,0,0,0,0,52.33975550786674,4.95252337936526,3.8169442903828656,3.726685332398624,264.52881224666805,3.7900919999999196,2.5016004333856086,-0.5366216743148908,0.045419823496189976,-0.09576276204552873,-0.22872770192739753,-0.0070575143112502296,0.007006898827211859,-0.010340084723376143
11.5,-1.1641305820684238,7.30743390389073,6.770198175949852,0.024751831397600947,0.12179792953498426,0.01149487563612576,-0.09819771653259907,0.0058485527452809515,0.16067082079814432,1,0,0,0,0,0,52.33974939196815,4.952475915886259,3.934470841277079,3.7924083634571337,260.37515498975307,3.7900919999978386,2.500420835260364,-0.5439122261141833,0.07040774309168159,0.0038245689474293316,-0.12559164850022903,-0.02002787881350328,-0.12106184416071604,0.1203516207820478
12.0,0.6410656427436481,6.727223901189341,7.237102090002122,0.00678908038602107,0.0640560390119061,-0.08337940953084315,0.48491740499806596,-0.09567143359035903,0.26422894204180236,1,0,0,0,0,0,52.33974422125462,4.9524436027472465,3.926308648234124,3.8280911367261394,257.4898316099804,3.790092000001605,2.4980581155096804,-0.5561848625919262,0.10432885904956968,0.1068147261217103,-0.03763397360935279,0.0041013293695248395,0.273110179161898,0.03581521510806073
12.5,-0.4827275889079654,6.725702306441807,7.26429827874823,0.006049786516591424,-0.06196315793350624,-0.08976070404869252,0.45306751463514716,0.03849866662432873,0.144036467386552,1,0,0,0,0,0,52.339740189309566,4.952422618691792,3.921398337875662,3.8314148218727957,256.19374726959774,3.7900920000022498,2.502516850101717,-0.554129654220358,0.10359874678982368,0.17638819178294904,0.030217098219636463,0.049569560584852145,0.016727469873437126,-0.01169678340847625
13.0,-0.9759426522573323,7.446041022541063,7.325258160656591,0.00032657679509205716,-0.049939705689878745,0.02886224506231252,0.06374653823854683,0.0017236530587261076,0.08577514667142308,1,0,0,0,0,0,52.339736518485736,4.952400109499703,3.995052920586555,3.832655449073318,255.31307386386754,3.7900919999915375,2.4978916477879882,-0.554410381214488,0.09241287959608002,0.07760089499053037,-0.04971261725125757,-0.020163966842160132,-0.11459550932315993,0.08602072784206567
13.5,0.13750909761347607,6.871419665251088,7.486070524599727,-0.005276005882047875,0.04016699618656952,0.08352678414764542,-0.12500496571967973,-0.057095454745532404,0.1361251127348287,1,0,0,0,0,0,52.33973349883861,4.952386556865169,4.077650674472565,3.7963926192871806,255.0537969106866,3.7900920000149934,2.5010293651691593,-0.5573192765221964,0.09748781489318661,-0.02689090904920781,-0.16359302093990988,-0.04514024217735098,0.13070009413865427,0.03653887290008006
14.0,-1.0948106581697385,7.603822736589486,6.174219291156609,0.00044425612445833375,0.02570146772543506,0.014544912827579155,-0.14140232769046662,0.015318528229057465,0.10275500450049273,1,0,0,0,0,0,52.33972976103338,4.952365234106801,4.165676185382567,3.8011357677339674,254.67876846311228,3.790091999980555,2.5002266513610896,-0.5553869968571228,0.09281906533344202,0.025841501923957268,-0.08615135568880912,-0.0933333661126356,-0.1742689366510848,0.1516414848253967
14.5,-1.1884078632186625,7.8580912057971135,6.241854543604048,0.00811022886045152,0.009859647413836317,-0.0063575336082300656,0.09466672770797124,0.09201946775027615,0.040891760055616344,1,0,0,0,0,0,52.33972535727786,4.952342420712371,4.178915334534423,3.8535588727614845,254.77329902232373,3.790092000020022,2.498810858072792,-0.5556414216478862,0.0886540954976355,0.09020413227059398,-0.021098269427115512,-0.13659998012606175,-0.2112505261535572,0.12652641217345334
15.0,-0.23456378919473667,7.240406727476402,6.5432199497670815,0.008641321220214566,0.013796424350451196,0.017453080482314205,-0.07495066097093282,0.05759228750301726,0.006320309082645905,1,0,0,0,0,0,52.33971949675804,4.952311673607342,4.248300304661747,3.9507502415432434,255.3185143315511,3.790091999983817,2.5015708900257656,-0.5591048907519467,0.08259722964539669,0.043102419673322456,-0.07342476506174785,-0.13768729287103176,-0.012721480834090606,0.035989901456896775
15.5,-0.7441137594919409,7.837613455509582,6.276932044466044,0.005335780887431666,0.0020811455588774673,-0.022177527987606402,-0.16859253619747336,0.0173120760714869,0.09878258769927108,1,0,0,0,0,0,52.33971065565213,4.952261869562352,4.445758137455657,4.061163977394082,254.73801945525696,3.790092000008885,2.4986629991072786,-0.5624866908400208,0.08540856413713294,0.04817127216370067,-0.051049303927165744,-0.12967278663216375,-0.12118599707939604,0.1460429727969436
