,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft
0.0,-0.5608925,-0.13669025,9.85184925,-0.00106925,-0.0035125,0.010995,0.11502875,-0.16048774999999998,0.116084,52.34584,4.921309,,,,,0.0,1,0,0,0,0,0
0.5,-1.346202,0.02913260000000002,10.1151194,-0.0011606000000000006,-0.13472220000000001,0.008582600000000001,-1.1200852,0.4994262,-0.1465052,,,,,,,,1,0,0,0,0,0
1.0,-1.288296,1.2114863999999999,9.520682800000001,-0.004672999999999999,-0.0208604,-0.05030340000000001,-0.8700868000000002,1.1913386000000001,-0.042152000000000016,52.346031,4.922021,3.758512,0.0,,8.022825,,1,0,0,0,0,0
1.5,-0.6818348000000001,0.42538420000000005,10.3894566,0.04450020000000001,-0.10515739999999998,0.016401200000000015,0.6468401999999999,0.35705840000000005,0.1882216,,,,,,,,1,0,0,0,0,0
2.0,0.6966704,1.0976473999999998,9.3865648,-0.12473499999999998,0.091963,-0.4077406,0.4547782000000001,-0.07702640000000005,-0.07873819999999995,52.346031,4.92202,3.810086,0.0,,5.156422,6.2952629999999985,1,0,0,0,0,0
2.5,-0.7129414000000001,-0.5231307999999999,9.8522078,0.08438839999999999,-0.22717420000000005,0.5546492000000001,-0.9484638,-0.45214259999999995,-0.28538899999999995,,,,,,,,1,0,0,0,0,0
3.0,1.2092728000000001,-0.03475580000000002,10.624072800000002,0.06203139999999999,0.1841706,-0.2177062,0.5165524000000001,0.3743852,-0.5108438,52.346026,4.922008,4.658217,0.69,267.600006,4.201442,4.699179,1,0,0,0,0,0
3.5,0.39284159999999996,0.14368879999999998,11.170414,-0.015423800000000003,0.11832099999999998,-0.4707188,0.929842,0.7934465999999999,0.006809599999999971,,,,,,,,1,0,0,0,0,0
4.0,-1.3569696000000002,-1.8164513999999998,9.7457274,0.184201,-0.14483200000000002,0.028832,0.2776215999999999,0.6839554,-1.8035066000000002,52.346024,4.921983,5.3337379999999985,1.48,272.899994,3.895981,4.031568,1,0,0,0,0,0
4.5,0.7263414000000002,0.09936199999999992,9.368379,0.10979960000000001,-0.018753,0.173603,1.1021113999999999,0.39939,-0.8353233999999998,,,,,,,,1,0,0,0,0,0
