,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
0.0,-0.5898806666666666,0.41206383333333335,9.918200166666667,-7.625000000000004e-05,-0.00133625,-0.004772,0.030705250000000003,0.017107,0.06075125000000001,52.349508,4.923717,,,,265.0,0.0,1,0,0,0,0,0
0.5,-0.3188436,0.9062816,10.028319999999999,0.0031460000000000004,-0.004276,0.0358874,-0.11582080000000002,0.11691000000000003,0.044677999999999995,,,,,,,,1,0,0,0,0,0
1.0,-1.15687,1.2032308,9.554959799999999,-0.005558800000000002,-0.0383918,0.1160916,-0.16210300000000002,1.0032298,0.011531599999999993,,,,,,,,1,0,0,0,0,0
1.5,-0.7631908,0.16307100000000002,10.5451096,0.005711400000000001,-0.1291944,0.21187240000000002,-0.5146306,0.050837,0.05041099999999997,,,,,,,,1,0,0,0,0,0
2.0,0.8084747999999999,1.4033305999999999,9.082437000000002,-0.009957,0.11902359999999998,-0.2812342,0.7351075000000001,0.44750775,0.04232425000000001,,,,,,,,1,0,0,0,0,0
2.5,-0.9157332,0.27457640000000005,10.6538632,0.0273355,0.03661299999999999,-0.25113450000000004,0.5040744,-0.5443950000000001,0.06834339999999998,,,,,,,,1,0,0,0,0,0
3.0,0.40534400000000037,1.8628722,8.2227556,0.0092542,0.031153199999999992,-0.5354686,0.5327344,-0.21894280000000005,-0.031242400000000004,52.350674,4.9257145,-3.257955,1.12,216.30000299999998,5.771222,7.2519475,1,0,0,0,0,0
3.5,0.22677960000000003,-0.14721840000000005,11.5535648,0.028801399999999998,-0.19443279999999996,0.19388279999999997,-0.33986500000000003,0.0053035999999999865,0.075198,,,,,,,,1,0,0,0,0,0
4.0,-0.17934200000000006,1.0029516,8.2229948,0.0009162000000000018,0.009254000000000007,0.30511839999999996,-0.43165624999999996,-0.019964499999999996,-0.1144214999999999,52.350654999999996,4.925694999999999,0.386631,1.37,216.30000299999998,4.1541559999999995,5.055315,1,0,0,0,0,0
4.5,-0.8790036000000001,-0.2351546,10.345667599999999,0.02664825,0.03340575,0.23425975,-0.033054600000000045,-0.6472163999999999,0.23820260000000001,,,,,,,,1,0,0,0,0,0
5.0,-1.0719843999999998,0.6051448,9.019266400000001,-0.0355818,0.04981460000000001,-0.21089480000000002,0.08907439999999997,-0.005498999999999999,-0.10995940000000004,52.350639,4.925679,1.4796770000000001,1.58,216.30000299999998,3.790092,3.635771,1,0,0,0,0,0
5.5,0.2836692,0.6546166,8.067162,-0.0368038,-0.0736378,0.23545119999999997,-0.29947819999999997,-0.6475574,0.35463259999999996,,,,,,,,1,0,0,0,0,0
6.0,0.5345564000000002,-0.14883339999999984,12.9201652,0.030022999999999987,0.097705,-0.29894879999999996,0.6072604,0.2916844,-0.5605581999999998,52.35062,4.925659,3.425378,2.21,219.100006,3.790092,3.099022,1,0,0,0,0,0
6.5,0.32350960000000006,-2.0961723999999995,11.7296762,0.048180749999999994,0.013018749999999996,-0.16599775,0.35501475000000005,-0.5609165,0.46714275,,,,,,,,1,0,0,0,0,0
