,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
0.0,-0.5223616715486324,0.543562461679898,7.96712421486673,0.0002023493245819052,-0.004786083978574968,0.008548236787000786,-0.012149468359854355,0.0956658645554051,0.05112212857052938,51.29159320602682,4.869920060312123,-3.2116448278362357,1.1044684351767389,137.0909452135937,5.706761590847594,3.5958460939741337,1,0,0,0,0,0,0.02540437244966942,1.1493881357521927,0.31401271804926656,-0.12702218199323612,0.042188432559059685,-0.03400593399520842,0.0902527771449696
0.5,-0.4493067878273251,0.6301589690821671,8.37908285110181,0.002058994363006958,-0.0044694580203398495,0.025108660309942722,-0.07550644081480179,0.10876134092374178,0.047282116901802174,51.94992006010988,4.904270188371424,-3.2439436827378785,1.114890870739554,203.82250755042554,5.747844051079826,3.6212528076054444,1,0,0,0,0,0,-0.18536945319244985,1.145092250487191,0.26983096363840847,-0.1491404042571654,0.008270754540498998,-0.03370449083634059,0.1092732411118724
1.0,-0.7679846782532587,0.8200940907825884,8.721652305959493,-0.0029706001605176668,-0.026622721793020148,0.0836082020830336,-0.1331519591874994,0.7098932708114187,0.023791663024605843,52.211501272510155,4.917604198980079,-3.254113993786443,1.1184794314250597,214.56292979405097,5.763412672969446,3.6309048027240736,1,0,0,0,0,0,-0.22022355272843502,1.1683415682808485,0.2754278589594973,-0.13174171142574795,-0.05569104516779658,-0.05636051240509334,0.16469011649201498
1.5,-0.765699514303862,0.5767020575829509,9.331544970938216,0.002790914264858587,-0.09400267104218579,0.16667932704389588,-0.3893784179239397,0.26309906566588837,0.041469897812952586,52.30265957619432,4.922341510194908,-3.256910220242302,1.1195516350198211,216.05878864762172,5.768638077714254,3.634155378085312,1,0,0,0,0,0,-0.22466473886929497,1.1539958632030283,0.24620236238341262,-0.24833337350531676,-0.169906913070539,0.001017718980673099,0.156958481705318
2.0,-0.004132668888832347,0.8953991623501492,9.243598502495704,-0.005673665919114812,0.04603192927078653,-0.12367474619012997,0.3666255554090132,0.388227465347342,0.04203796049361775,52.334006444274685,4.924145992666342,-3.257671015928815,1.1198679015964004,216.2665090532909,5.77036798642879,3.635235178327238,1,0,0,0,0,0,-0.23947899810766538,1.1429015693828304,0.24972724171731395,-0.1331407273133085,0.13687885630444485,-0.14494130717177067,0.10051028912655396
2.5,-0.44687353265150725,0.6525430843210105,9.752318987783546,0.016245751305477764,0.03983981634444955,-0.20630802339130916,0.45904339537373584,-0.2446514926595813,0.05953093689819519,52.34484964360869,4.9249696392355595,-3.2578778523046674,1.119961085952146,216.2953522230722,5.77093982313983,3.6355933312217967,1,0,0,0,0,0,-0.24169135309081982,1.11932534453678,0.27165729144416845,-0.23382679133880857,0.2091031729665817,-0.13554756251734018,0.07757882173293146
3.0,-0.032548685446659065,1.128528867217784,9.195785609415655,0.011603045655085551,0.03412908118269365,-0.41970859940760846,0.5085922904101369,-0.2272053743353263,-0.0008337510940036388,52.34868336765722,4.925466132005621,-3.2579340813744553,1.1199885389952127,216.29935725824083,5.771128817727488,3.6357121051445147,1,0,0,0,0,0,-0.24891822275602005,1.1392850257318017,0.2590983922237298,-0.1369257906949059,0.30479786375999374,-0.13381644742809584,0.06746117275312458
3.5,0.09356374581721882,0.6258379624878921,10.056641196648341,0.023023539435271547,-0.1161317076865771,-0.021905835583905686,-0.061900330589022556,-0.06942278679489355,0.04972780076159853,52.34998848589694,4.925625323699945,-1.9310497257867982,1.2081707152924317,216.29991337972416,5.229876569289176,3.635751493311556,1,0,0,0,0,0,-0.2105790261417601,1.001322285783104,0.19092434262481284,-0.2692030609042359,-0.06870735481478388,-0.019853883460918747,0.11849273115380679
4.0,-0.03916093857562822,0.7745406064128647,9.386221482656971,0.008343253872520969,-0.033700822260394364,0.19011013835643642,-0.31051985233025475,-0.035859964612457905,-0.059432447247466845,52.350426963671765,4.925671729125209,-0.24343434938260833,1.3223239181257904,216.29999060029553,4.509679420717014,3.6357645553081523,1,0,0,0,0,0,-0.18254061786444115,0.8663831911578184,0.17605654606240148,-0.16629174802325317,-0.12333995717900277,0.06962891415833179,0.1522994709187635
4.5,-0.4476167898102308,0.3762955553876579,9.737211420039106,0.020498609165735492,0.010416281922872965,0.21873316605778204,-0.12395548132950468,-0.4507317271515086,0.13849660848290296,52.350571786839325,4.92568179899821,0.6132964922131267,1.4300205319410442,216.30000132280279,4.149784947737997,3.635768886957225,1,0,0,0,0,0,-0.16836311742140952,0.7582191575113367,0.18692856680129954,-0.23672690839110913,-0.053176057390952935,0.08020005997280033,0.1382960058963877
